label,Role,description,Sortindex,keepMax,name,price
SOUL_M0701,SOUL_M0701,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,グラスマッシャー,0
SOUL_M0702,SOUL_M0702,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ワイルドエボニー,0
SOUL_M0703,SOUL_M0703,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ビーストイーター,0
SOUL_M0710,SOUL_M0710,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アトラナート,0
SOUL_M0711,SOUL_M0711,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ブラッドアラクニダ,0
SOUL_M0712,SOUL_M0712,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ロードアラクニダ,0
SOUL_M0720,SOUL_M0720,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,マイナーアント,0
SOUL_M0721,SOUL_M0721,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,メジャーアント,0
SOUL_M0722,SOUL_M0722,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カイザーアント,0
SOUL_M0800,SOUL_M0800,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バルチャー,0
SOUL_M0801,SOUL_M0801,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ソングバード,0
SOUL_M0802,SOUL_M0802,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スカイダイバー,0
SOUL_M0803,SOUL_M0803,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スカイタンカー,0
SOUL_M0810,SOUL_M0810,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,フライマンバ,0
SOUL_M0811,SOUL_M0811,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ヤング・サン,0
SOUL_M0812,SOUL_M0812,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クレイジー・サン,0
SOUL_M0820,SOUL_M0820,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,デコバット,0
SOUL_M0820_B,SOUL_M0820_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,飛鼠,0
SOUL_M0821,SOUL_M0821,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アッシュビーク,0
SOUL_M0822,SOUL_M0822,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ミュージカルバット,0
SOUL_M0900,SOUL_M0900,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エレメンタル金,0
SOUL_M0900_B,SOUL_M0900_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,フェアリーストーン,0
SOUL_M0901,SOUL_M0901,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エレメンタル水,0
SOUL_M0902,SOUL_M0902,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エレメンタル火,0
SOUL_M0903,SOUL_M0903,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エレメンタル木,0
SOUL_M0904,SOUL_M0904,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,エレメンタル土,0
SOUL_M0904_B,SOUL_M0904_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,フロート,0
SOUL_M1000,SOUL_M1000,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,パワーデビル,0
SOUL_M1001,SOUL_M1001,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,イフリート,0
SOUL_M1002,SOUL_M1002,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カルコブリーナ,0
SOUL_M1003,SOUL_M1003,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,マラコーダ,0
SOUL_M1004,SOUL_M1004,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アリエル,0
SOUL_M1010,SOUL_M1010,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,リリス,0
SOUL_M1011,SOUL_M1011,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,サキュバス,0
SOUL_M1012,SOUL_M1012,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ハルピュイア,0
SOUL_M1020,SOUL_M1020,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スケルトン,0
SOUL_M1021,SOUL_M1021,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スカルダンサー,0
SOUL_M1022,SOUL_M1022,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ヴァニタス,0
SOUL_M2000,SOUL_M2000,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クジラ(白),0
SOUL_M2001,SOUL_M2001,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クジラ(黒),0
SOUL_M2002,SOUL_M2002,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クジラ(赤),0
SOUL_M2003,SOUL_M2003,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クジラ(緑),0
SOUL_M2004,SOUL_M2004,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,クジラ(黄),0
SOUL_M2100,SOUL_M2100,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,有翼人面獣,0
SOUL_M2101,SOUL_M2101,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,有翼人面獣2,0
SOUL_M2102,SOUL_M2102,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,有翼人面獣3,0
SOUL_M2103,SOUL_M2103,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,有翼人面獣4,0
SOUL_M2200,SOUL_M2200,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムササビ1,0
SOUL_M2201,SOUL_M2201,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムササビ2,0
SOUL_M2202,SOUL_M2202,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムササビ3,0
SOUL_M2203,SOUL_M2203,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムササビ4,0
SOUL_M2204,SOUL_M2204,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ムササビ5,0
SOUL_E_C01_TUTORIAL_MONSTER,SOUL_E_C01_TUTORIAL_MONSTER,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ワンダリング・モク,0
SOUL_E_C01_DOOREVIL_A,SOUL_E_C01_DOOREVIL_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,扉の邪霊,0
SOUL_E_BOSS_ELEMENT_MOKU_E,SOUL_E_BOSS_ELEMENT_MOKU_E,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,木の小精霊,0
SOUL_E_BOSS_ELEMENT_MOKU_N,SOUL_E_BOSS_ELEMENT_MOKU_N,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,木の精霊,0
SOUL_E_BOSS_ELEMENT_MOKU_H,SOUL_E_BOSS_ELEMENT_MOKU_H,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,木の大精霊,0
SOUL_E_BOSS_ELEMENT_MOKU,SOUL_E_BOSS_ELEMENT_MOKU,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,木の神霊,0
SOUL_E_BOSS_ELEMENT_KA_E,SOUL_E_BOSS_ELEMENT_KA_E,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,火の小精霊,0
SOUL_E_BOSS_ELEMENT_KA_N,SOUL_E_BOSS_ELEMENT_KA_N,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,火の精霊,0
SOUL_E_BOSS_ELEMENT_KA_H,SOUL_E_BOSS_ELEMENT_KA_H,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,火の大精霊,0
SOUL_E_BOSS_ELEMENT_KA,SOUL_E_BOSS_ELEMENT_KA,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,火の神霊,0
SOUL_E_BOSS_ELEMENT_DO_E,SOUL_E_BOSS_ELEMENT_DO_E,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土の小精霊,0
SOUL_E_BOSS_ELEMENT_DO_N,SOUL_E_BOSS_ELEMENT_DO_N,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土の精霊,0
SOUL_E_BOSS_ELEMENT_DO_H,SOUL_E_BOSS_ELEMENT_DO_H,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土の大精霊,0
SOUL_E_BOSS_ELEMENT_DO,SOUL_E_BOSS_ELEMENT_DO,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土の神霊,0
SOUL_E_BOSS_ELEMENT_KIN_E,SOUL_E_BOSS_ELEMENT_KIN_E,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,金の小精霊,0
SOUL_E_BOSS_ELEMENT_KIN_N,SOUL_E_BOSS_ELEMENT_KIN_N,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,金の精霊,0
SOUL_E_BOSS_ELEMENT_KIN_H,SOUL_E_BOSS_ELEMENT_KIN_H,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,金の大精霊,0
SOUL_E_BOSS_ELEMENT_KIN,SOUL_E_BOSS_ELEMENT_KIN,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,金の神霊,0
SOUL_E_BOSS_ELEMENT_SUI_E,SOUL_E_BOSS_ELEMENT_SUI_E,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,水の小精霊,0
SOUL_E_BOSS_ELEMENT_SUI_N,SOUL_E_BOSS_ELEMENT_SUI_N,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,水の精霊,0
SOUL_E_BOSS_ELEMENT_SUI_H,SOUL_E_BOSS_ELEMENT_SUI_H,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,水の大精霊,0
SOUL_E_BOSS_ELEMENT_SUI,SOUL_E_BOSS_ELEMENT_SUI,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,水の神霊,0
SOUL_E_W01_AMYA_MYSTERY_00_A,SOUL_E_W01_AMYA_MYSTERY_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,タツノオトシゴ,0
SOUL_E_W01_GHOSTTOWN_00_A,SOUL_E_W01_GHOSTTOWN_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,トレント,0
SOUL_E_W01_KOMAINU_00_A,SOUL_E_W01_KOMAINU_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,狛犬,0
SOUL_E_W01_YAMAGUMO_00_A,SOUL_E_W01_YAMAGUMO_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,山蜘蛛,0
SOUL_E_W01_LAKE_00_A,SOUL_E_W01_LAKE_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,巨大カエル,0
SOUL_E_W01_BOSS_KORYU_A,SOUL_E_W01_BOSS_KORYU_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,黄龍,0
SOUL_E_W02_CELESTIAL_WING_GUARDIAN,SOUL_E_W02_CELESTIAL_WING_GUARDIAN,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,魔女の守護者,0
SOUL_E_W02_CRYSTAL_MONSTER,SOUL_E_W02_CRYSTAL_MONSTER,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,結晶の魔物,0
SOUL_E_W02_CALAMITY,SOUL_E_W02_CALAMITY,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,災厄,0
SOUL_E_W03_BOSS_KING_A,SOUL_E_W03_BOSS_KING_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,闇の王,0
SOUL_E_W04_PEDRO_00_A,SOUL_E_W04_PEDRO_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ペドロ,0
SOUL_E_W04_AZURE_00_B,SOUL_E_W04_AZURE_00_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,護り人の魂,0
SOUL_E_W04_BOSS_BALTASAR_A,SOUL_E_W04_BOSS_BALTASAR_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バルタサール,0
SOUL_E_W04_MASTER_00_A,SOUL_E_W04_MASTER_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,先生,0
SOUL_E_W04_SEAGOD_A,SOUL_E_W04_SEAGOD_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,海神,0
SOUL_E_W04_LIBERATOR_A,SOUL_E_W04_LIBERATOR_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,解放者,0
SOUL_E_W06_EVILCELL_A,SOUL_E_W06_EVILCELL_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,悪性種,0
SOUL_E_W06_EVILCELL_B,SOUL_E_W06_EVILCELL_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,超悪性種,0
SOUL_E_W06_SAFED_A,SOUL_E_W06_SAFED_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,神官サフィード,0
SOUL_E_W06_VALKOINEN_A,SOUL_E_W06_VALKOINEN_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,神官長ヴァルコネイン,0
SOUL_E_W06_CANCER_A,SOUL_E_W06_CANCER_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カン＝ケルゥ,0
SOUL_E_W06_CANCER_B,SOUL_E_W06_CANCER_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,カン＝ケルゥ,0
SOUL_E_W06_PARASITE_A,SOUL_E_W06_PARASITE_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,寄生種,0
SOUL_E_W06_SUPERPARASITE_A,SOUL_E_W06_SUPERPARASITE_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,超寄生種,0
SOUL_E_W07_EVAR_MISSION232_00_A,SOUL_E_W07_EVAR_MISSION232_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,紫の巨獣,0
SOUL_E_W07_EVAR_MISSION401_00_A,SOUL_E_W07_EVAR_MISSION401_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,レッド・サン,0
SOUL_E_W08_M0722_A,SOUL_E_W08_M0722_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ナムル族,0
SOUL_E_W08_M0403_A,SOUL_E_W08_M0403_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ドフター族,0
SOUL_E_W08_FOSSIL_A,SOUL_E_W08_FOSSIL_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,陽の鎮守神,0
SOUL_E_W08_FOSSIL_B,SOUL_E_W08_FOSSIL_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,陰の鎮守神,0
SOUL_E_W08_SOILMASTER_M0220_A,SOUL_E_W08_SOILMASTER_M0220_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土のヌシ,0
SOUL_E_W08_SOILMASTER_M2004_A,SOUL_E_W08_SOILMASTER_M2004_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,土のヌシ,0
SOUL_E_W10_MANUSCRIPT_MONSTER_00_A,SOUL_E_W10_MANUSCRIPT_MONSTER_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,古文書の魔物,0
SOUL_E_W10_CURSE_KING_00_A,SOUL_E_W10_CURSE_KING_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,呪いの王,0
SOUL_E_W10_DRIFTING_LIZARD_00_A,SOUL_E_W10_DRIFTING_LIZARD_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,漂流蜥蜴,0
SOUL_E_W10_TSUCHINOKO_00_A,SOUL_E_W10_TSUCHINOKO_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,ツチノコ,0
SOUL_E_W10_MONOFFID_00_A,SOUL_E_W10_MONOFFID_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,モノフィド,0
SOUL_E_W10_NENKIN_00_A,SOUL_E_W10_NENKIN_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,粘菌,0
SOUL_E_W10_MUTANT303_00_A,SOUL_E_W10_MUTANT303_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,変異種303号,0
SOUL_E_W10_QWEEN_00_A,SOUL_E_W10_QWEEN_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,変異種303号緑女王,0
SOUL_E_W10_QWEEN_00_B,SOUL_E_W10_QWEEN_00_B,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,変異種303号黄女王,0
SOUL_E_W10_QWEEN_00_C,SOUL_E_W10_QWEEN_00_C,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,変異種303号赤女王,0
SOUL_E_W10_SPRIGGAN_00_A,SOUL_E_W10_SPRIGGAN_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,スプリガン,0
SOUL_E_W12_BOOK_KEEPER_00_A,SOUL_E_W12_BOOK_KEEPER_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,本の守護獣,0
SOUL_E_W12_M0120_A,SOUL_E_W12_M0120_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,バフーン,0
SOUL_E_W12_BOSS_GOD_00_A,SOUL_E_W12_BOSS_GOD_00_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アイアン・メイデン,0
SOUL_E_W15_BOSS_ALESSA_A,SOUL_E_W15_BOSS_ALESSA_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,アレサ,0
SOUL_E_W15_BOSS_CEO_C,SOUL_E_W15_BOSS_CEO_C,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,社長,0
SOUL_E_W19_M1011_A,SOUL_E_W19_M1011_A,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,女王蜂,0
ROLE_129,ROLE_129,_NOT_SPECIFIED_,_NOT_SPECIFIED_,1,サラマンダー,0
