label, Name, Art:Rank Array
ROLE_001, アタッカー, THS_WH000_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_016, 強靭, THG_GHCHE_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_017, しっかり, THS_WHSSW_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_018, 明朗, THG_GHFLA_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_019, 温厚, MAR_MA000_B09: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_020, キレイ好き, OHS_WLLSW_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_021, 柔軟, MAR_MA000_A09: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_022, 不屈, OHS_WLAXE_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_023, 理性的, OHG_GL000_B04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_024, リンクマン, OHS_WL000_A04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_025, スロースターター, THG_GHBOM_A01: 2,  THG_GHFLA_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_026, 反骨, OHS_WLAXE_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_027, 調律師, OHS_WLRAP_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_028, スターター, OHS_WLDAG_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_029, ドリーマー, THS_WHGSW_B04: 2,  THS_WHSSW_B04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_030, 弱点狙い, OHS_WLDAG_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_031, 策士, OHS_WLDAG_A01: 2,  OHS_WLRAP_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_032, 旗手, OHG_GL000_B01: 2,  OHG_GL000_B05: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_033, 人気者, OHS_WLAXE_B02: 2,  OHS_WLDAG_B03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_034, 型破り, THG_GHMAC_B02: 2,  THG_GHBOM_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_035, 几帳面, OHG_GL000_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_036, 鳥除け, THG_GH000_A04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_037, 復讐, MAR_MA000_A07: 2,  MAR_MA000_B03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_038, ブレイカー, THS_WHGSW_B03: 2,  THS_WHPSW_B04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_039, ガードスター, OHS_WL000_PROTECT: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_040, 無我, OHS_WLRAP_A02: 2,  OHS_WLLSW_B03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_041, 残心, THS_WHSSW_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_042, 警戒, MAR_MA000_B04: 2,  MAR_MA000_B07: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_043, 生存本能, MAR_MA000_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_044, 臨機応変, OHG_GL000_A04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_045, 迅速, OHS_WLLSW_B01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_046, しんがり, THS_WHPSW_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_047, 専心, THS_WHPSW_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_048, 陽動, THG_GH000_A01: 2,  THG_GH000_A03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_049, 伏兵, THS_WHSSW_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_050, 歌詠み, THG_GH000_A02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_051, 反感, THS_WHGSW_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_052, ごり押し, THS_WHGSW_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_053, 無慈悲, THG_GHMAC_A01: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_054, フィニッシャー, THS_WH000_A02: 2,  THS_WH000_A04: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_055, 断罪, THG_GHELE_A02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_056, 二刀の達人, OHS_WLLSW_B04: 3,  OHS_WLRAP_B02: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_057, 二丁拳銃使い, OHG_GL000_B08: 3,  OHG_GL000_B05: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_058, 剣×銃使い, OHS_WLDAG_B03: 3,  OHG_GL000_B04: 3,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_059, 自己防衛, THS_WH000_PROTECT: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_060, 継続力, OHS_WLLSW_B04: 2,  OHS_WLAXE_B03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_061, 達観, THS_WHPSW_B03: 2,  THS_WHSSW_B03: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_062, 司令塔, THG_GH000_B02: 2,  THG_GHCHE_B02: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_063, 独演, MAR_MA000_B08: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_064, エネルギッシュ, MAR_MA000_A08: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_065, 口封じ, MAR_MA000_B06: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_066, トリックスター, OHG_GL000_B06: 2,  OHG_GL000_B08: 2,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_067, 協調, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
UNIQUE_ROLE_Tsunanori, 綱紀固有ロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Tsunanori, 綱紀サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Ameya_Aisling, アメイヤサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Siugnas_Darkking, シウグナスサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Formina_Franklyn, フォルミナ フランクリンサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Bonnie_Blair, ボーニー ブレアサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Diva_No5_01, ディーヴァ ナンバー5サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Musashi, ムサシサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Sukune, スクネサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Komachi, コマチサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Bou, ボウサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_LoLo, ロロサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Shinobu_Kato, 加藤　忍サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Macha_Copy, ヴァッハ神（コピー）サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_General, 将軍サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Brave, 豪傑サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Philosopher, 哲人サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Killer, 人斬サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Ilmurran, 戦士サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Champion, 王者サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Beh_Cat, べーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Heh_Cat, へーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Eh_Cat, エーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Constantine, コンスタンティンサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Imakoo_Werewolf, イマクーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Wednesday, ウェンズデイサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Blath, ブラーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Boudica, ボウディカーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Lita_Caryx, リタサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_YellowWitchWillma, ウィルマサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_YellowWitchWillma_Golem, ウィルマ（ゴーレム）サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_SquireAssasin, 赤の従士サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Dolores, ドロレスサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Ivar, イーヴァルサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Azure, アズーレサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Byaku, ハクサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Erytheia, マルーンサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Nitram, 火の種族サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Atihana, 水の種族サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Nahoj, 風の種族サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Irbas, 森の種族サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Gruman_Mole, グルマンサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Gold_SubManager, ゴールド主任サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_BX10_EX, BX10_EXサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Mech_Bard, 吟遊詩人サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Sarab, サラーブサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Simon, サイモンサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Naomi_Waka, 若　七緒美サポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Professor, プロフェッサーサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Emily_Bryant, エミリー・ブライアントサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Scarecrow, かかしサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_H, 歌姫ロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_D, 吟遊詩人ロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_I, BX10ロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_F, サラーブロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_C, ゴールド主任ロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
ROLE_MECHA_BODY_S, サイモンロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
SUPPORT_ROLE_Kina_Kikiri, キナサポートロール, _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0,  _NOT_SPECIFIED_: 0, 
