label,prob,rank,worldidea,enemylabel,equiplabel,haveidea,itemlabel,race,scene,setpattern,sozailabel
IDEA_DICIPLINE,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_GLITTER,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_OBEDIENCE,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_VITALITY,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_HARMONY,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_ORDER,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_AMBITION,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_SILENCE,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_UPHEABAL,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_AUTHORITY,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_REINCARNATION,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_PRIDE,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_GREED,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_LUST,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_SLOTH,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WRATH,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_GLUTTONY,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_ENVY,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_RETRO,0,3,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_TECHNOLOGY,0,3,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_ART,0,3,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_MECHA,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_DARKNIGHT,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WORLD_ART,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WORLD_WILD,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WORLD_MODAN,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_WORLD_SF,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA001,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA002,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA003,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA004,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA005,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA006,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA007,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA008,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA009,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA010,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA011,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA012,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA013,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA014,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA015,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA016,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA017,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA018,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA019,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA020,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_001,20,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,Beast,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_002,0,0,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_A001,80,20,Art _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_A002,80,20,Magic _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_A003,80,20,Art Magic Order,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_B001,95,20,Chaos _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_B002,95,20,Science _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_B003,95,20,Technology _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_C001,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_C002,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_C003,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_D001,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_D002,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_D003,0,20,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,LongSword,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_E001,100,1,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_E002,100,1,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
IDEA_E003,100,1,_NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,_NOT_SPECIFIED_,BS_GUR_ZAKO1,_NOT_SPECIFIED_,_NOT_SPECIFIED_
