label,Value,ItemCategory,FreeCategory,FreeCategory2,ExhibitProhibited
WLLSW07_C,9,EquipItem,Weapon,RareM,False
WLLSW08_A,9,EquipItem,Weapon,RareM,False
WLLSW09_A,5,EquipItem,Weapon,RareM,False
WLLSW09_B,6,EquipItem,Weapon,RareM,False
WLLSW09_C,8,EquipItem,Weapon,RareM,False
WLLSW09_D,9,EquipItem,Weapon,RareM,False
WLLSW10_A,8,EquipItem,Weapon,RareM,False
WLLSW11_A,9,EquipItem,Weapon,RareM,False
WLRAP01_A,3,EquipItem,Weapon,None,False
WLRAP01_B,4,EquipItem,Weapon,None,False
WLRAP01_C,5,EquipItem,Weapon,RareM,False
WLRAP01_GUARD_A,5,EquipItem,Weapon,RareM,False
WLRAP01_GUARD_B,6,EquipItem,Weapon,RareM,False
WLRAP02_A,5,EquipItem,Weapon,None,False
WLRAP02_B,6,EquipItem,Weapon,None,False
WLRAP02_C,7,EquipItem,Weapon,None,False
WLRAP02_D,8,EquipItem,Weapon,None,False
WLRAP03_A,5,EquipItem,Weapon,None,False
WLRAP03_B,6,EquipItem,Weapon,None,False
WLRAP03_C,7,EquipItem,Weapon,None,False
WLRAP03_D,8,EquipItem,Weapon,None,False
WLRAP04_A,5,EquipItem,Weapon,None,False
WLRAP04_B,6,EquipItem,Weapon,None,False
WLRAP04_C,7,EquipItem,Weapon,None,False
WLRAP04_D,8,EquipItem,Weapon,None,False
WLRAP05_A,5,EquipItem,Weapon,None,False
WLRAP05_B,6,EquipItem,Weapon,None,False
WLRAP05_C,7,EquipItem,Weapon,None,False
WLRAP05_D,8,EquipItem,Weapon,None,False
WLRAP06_A,5,EquipItem,Weapon,RareM,False
WLRAP06_B,7,EquipItem,Weapon,RareM,False
WLRAP06_C,9,EquipItem,Weapon,RareM,False
WLRAP07_A,8,EquipItem,Weapon,RareM,False
WLRAP07_B,9,EquipItem,Weapon,RareM,False
WLRAP08_A,5,EquipItem,Weapon,RareM,False
WLRAP08_B,7,EquipItem,Weapon,RareM,False
WLRAP08_C,9,EquipItem,Weapon,RareM,False
WLRAP09_A,9,EquipItem,Weapon,RareM,False
WLRAP10_A,7,EquipItem,Weapon,RareM,False
WLRAP10_B,9,EquipItem,Weapon,RareM,False
WLRAP11_A,5,EquipItem,Weapon,RareM,False
WLRAP11_B,7,EquipItem,Weapon,RareM,False
WLRAP11_C,9,EquipItem,Weapon,RareM,False
WLDAG01_A,3,EquipItem,Weapon,None,False
WLDAG01_B,4,EquipItem,Weapon,None,False
WLDAG01_C,5,EquipItem,Weapon,RareM,False
WLDAG02_A,4,EquipItem,Weapon,Strong,False
WLDAG02_B,6,EquipItem,Weapon,Strong,False
WLDAG02_C,8,EquipItem,Weapon,Strong,False
WLDAG03_A,5,EquipItem,Weapon,None,False
WLDAG03_B,6,EquipItem,Weapon,None,False
WLDAG03_C,7,EquipItem,Weapon,None,False
WLDAG03_D,8,EquipItem,Weapon,None,False
WLDAG04_A,5,EquipItem,Weapon,None,False
WLDAG04_B,6,EquipItem,Weapon,None,False
WLDAG04_C,7,EquipItem,Weapon,None,False
WLDAG04_D,8,EquipItem,Weapon,None,False
WLDAG05_A,4,EquipItem,Weapon,None,False
WLDAG05_B,6,EquipItem,Weapon,None,False
WLDAG05_C,8,EquipItem,Weapon,None,False
WLDAG06_A,5,EquipItem,Weapon,None,False
WLDAG06_B,6,EquipItem,Weapon,None,False
WLDAG06_C,7,EquipItem,Weapon,None,False
WLDAG06_D,8,EquipItem,Weapon,None,False
WLDAG07_A,5,EquipItem,Weapon,RareM,False
WLDAG07_B,7,EquipItem,Weapon,RareM,False
WLDAG07_C,9,EquipItem,Weapon,RareM,False
WLDAG08_A,5,EquipItem,Weapon,None,False
WLDAG08_B,6,EquipItem,Weapon,None,False
WLDAG08_C,7,EquipItem,Weapon,None,False
WLDAG08_D,8,EquipItem,Weapon,None,False
WLDAG09_A,5,EquipItem,Weapon,None,False
WLDAG09_B,6,EquipItem,Weapon,None,False
WLDAG09_C,8,EquipItem,Weapon,None,False
WLDAG09_D,9,EquipItem,Weapon,RareM,False
WLDAG10_A,5,EquipItem,Weapon,RareM,False
WLDAG10_B,7,EquipItem,Weapon,RareM,False
WLDAG10_C,9,EquipItem,Weapon,RareM,False
WLDAG11_A,9,EquipItem,Weapon,RareM,False
WLDAG11_B,4,EquipItem,Weapon,RareM,False
WLDAG11_C,5,EquipItem,Weapon,RareM,False
WLDAG11_D,7,EquipItem,Weapon,RareM,False
WLAXE_OLD_01,2,EquipItem,Weapon,None,False
WLAXE01_A,3,EquipItem,Weapon,None,False
WLAXE01_B,4,EquipItem,Weapon,None,False
WLAXE01_C,5,EquipItem,Weapon,RareM,False
WLAXE02_A,5,EquipItem,Weapon,None,False
WLAXE02_B,6,EquipItem,Weapon,None,False
WLAXE02_C,7,EquipItem,Weapon,None,False
WLAXE02_D,8,EquipItem,Weapon,None,False
WLAXE03_A,5,EquipItem,Weapon,None,False
WLAXE03_B,6,EquipItem,Weapon,None,False
WLAXE03_C,7,EquipItem,Weapon,None,False
WLAXE03_D,8,EquipItem,Weapon,None,False
WLAXE04_A,6,EquipItem,Weapon,Strong,False
WLAXE04_B,8,EquipItem,Weapon,Strong,False
WLAXE04_C,9,EquipItem,Weapon,Strong,False
WLAXE05_A,5,EquipItem,Weapon,RareM,False
WLAXE05_B,7,EquipItem,Weapon,RareM,False
WLAXE05_C,9,EquipItem,Weapon,RareM,False
WLAXE06_A,5,EquipItem,Weapon,None,False
WLAXE06_B,6,EquipItem,Weapon,None,False
WLAXE06_C,7,EquipItem,Weapon,None,False
WLAXE06_D,8,EquipItem,Weapon,None,False
WLAXE07_A,5,EquipItem,Weapon,None,False
WLAXE07_B,6,EquipItem,Weapon,None,False
WLAXE07_C,7,EquipItem,Weapon,None,False
WLAXE07_D,8,EquipItem,Weapon,None,False
WLAXE08_A,6,EquipItem,Weapon,RareM,False
WLAXE08_B,9,EquipItem,Weapon,RareM,False
WLAXE09_A,7,EquipItem,Weapon,RareM,False
WLAXE09_B,9,EquipItem,Weapon,RareM,False
WLAXE10_A,5,EquipItem,Weapon,RareM,False
WLAXE10_B,8,EquipItem,Weapon,RareM,False
WLAXE11_A,6,EquipItem,Weapon,RareM,False
WLAXE11_B,8,EquipItem,Weapon,RareM,False
WLAXE11_C,9,EquipItem,Weapon,RareM,False
WHGSW_OLD_01,2,EquipItem,Weapon,None,False
WHGSW01_A,3,EquipItem,Weapon,None,False
WHGSW01_B,4,EquipItem,Weapon,None,False
WHGSW01_C,5,EquipItem,Weapon,RareM,False
WHGSW01_D,5,EquipItem,Weapon,None,False
WHGSW01_GUARD_A,4,EquipItem,Weapon,Strong,False
WHGSW01_GUARD_B,6,EquipItem,Weapon,Strong,False
WHGSW01_GUARD_C,8,EquipItem,Weapon,Strong,False
WHGSW02_A,5,EquipItem,Weapon,None,False
WHGSW02_B,6,EquipItem,Weapon,None,False
WHGSW02_C,7,EquipItem,Weapon,None,False
WHGSW02_D,8,EquipItem,Weapon,None,False
WHGSW03_A,5,EquipItem,Weapon,None,False
WHGSW03_B,6,EquipItem,Weapon,None,False
WHGSW03_C,7,EquipItem,Weapon,None,False
WHGSW03_D,8,EquipItem,Weapon,None,False
WHGSW04_A,5,EquipItem,Weapon,None,False
WHGSW04_B,6,EquipItem,Weapon,None,False
WHGSW04_C,7,EquipItem,Weapon,None,False
WHGSW04_D,8,EquipItem,Weapon,None,False
WHGSW05_A,5,EquipItem,Weapon,None,False
WHGSW05_B,6,EquipItem,Weapon,None,False
WHGSW05_C,7,EquipItem,Weapon,None,False
WHGSW05_D,8,EquipItem,Weapon,None,False
WHGSW06_A,6,EquipItem,Weapon,RareM,False
WHGSW06_B,9,EquipItem,Weapon,RareM,False
WHGSW07_A,5,EquipItem,Weapon,RareM,False
WHGSW08_A,7,EquipItem,Weapon,RareM,False
WHGSW08_B,9,EquipItem,Weapon,RareM,False
WHGSW09_A,5,EquipItem,Weapon,RareM,False
WHGSW09_B,6,EquipItem,Weapon,RareM,False
WHGSW09_C,8,EquipItem,Weapon,RareM,False
WHGSW09_D,9,EquipItem,Weapon,RareM,False
WHGSW10_A,5,EquipItem,Weapon,RareM,False
WHGSW10_B,7,EquipItem,Weapon,RareM,False
WHGSW11_A,5,EquipItem,Weapon,RareM,False
WHGSW11_B,7,EquipItem,Weapon,RareM,False
WHGSW_EXCALIBUR_01,5,EquipItem,Weapon,None,False
WHGSW_EXCALIBUR_02,6,EquipItem,Weapon,None,False
WHGSW_EXCALIBUR_03,7,EquipItem,Weapon,RareM,False
WHGSW_EXCALIBUR_04,8,EquipItem,Weapon,RareM,False
WHSSW_OLD_01,2,EquipItem,Weapon,None,False
WHSSW01_A,3,EquipItem,Weapon,None,False
WHSSW01_B,4,EquipItem,Weapon,None,False
WHSSW01_C,5,EquipItem,Weapon,None,False
WHSSW02_A,5,EquipItem,Weapon,None,False
WHSSW02_B,6,EquipItem,Weapon,None,False
WHSSW02_C,7,EquipItem,Weapon,None,False
WHSSW02_D,8,EquipItem,Weapon,None,False
WHSSW03_A,5,EquipItem,Weapon,None,False
WHSSW03_B,6,EquipItem,Weapon,None,False
WHSSW03_C,7,EquipItem,Weapon,None,False
WHSSW03_D,8,EquipItem,Weapon,None,False
WHSSW04_A,5,EquipItem,Weapon,RareM,False
WHSSW04_B,7,EquipItem,Weapon,RareM,False
WHSSW04_C,9,EquipItem,Weapon,RareM,False
WHSSW05_A,5,EquipItem,Weapon,None,False
WHSSW05_B,6,EquipItem,Weapon,None,False
WHSSW05_C,7,EquipItem,Weapon,None,False
WHSSW05_D,8,EquipItem,Weapon,None,False
WHSSW06_A,6,EquipItem,Weapon,RareM,False
WHSSW06_B,8,EquipItem,Weapon,RareM,False
WHSSW07_A,4,EquipItem,Weapon,RareM,False
WHSSW07_B,6,EquipItem,Weapon,RareM,False
WHSSW07_C,8,EquipItem,Weapon,RareM,False
WHSSW08_A,5,EquipItem,Weapon,None,False
WHSSW08_B,6,EquipItem,Weapon,None,False
WHSSW08_C,7,EquipItem,Weapon,None,False
WHSSW08_D,8,EquipItem,Weapon,None,False
WHSSW09_A,7,EquipItem,Weapon,RareM,False
WHSSW09_B,9,EquipItem,Weapon,RareM,False
WHSSW10_A,4,EquipItem,Weapon,RareM,False
WHSSW10_B,6,EquipItem,Weapon,RareM,False
WHSSW10_C,8,EquipItem,Weapon,RareM,False
WHSSW11_A,6,EquipItem,Weapon,RareM,False
WHSSW11_B,9,EquipItem,Weapon,RareM,False
WHSSW_HIDEYOSHI,4,EquipItem,Weapon,RareM,False
WHSSW_IEYASU,6,EquipItem,Weapon,RareM,False
WHSSW_NOBUNAGA,8,EquipItem,Weapon,RareM,False
WHPSW01_A,3,EquipItem,Weapon,None,False
WHPSW01_B,4,EquipItem,Weapon,None,False
WHPSW01_C,5,EquipItem,Weapon,Strong,False
WHPSW02_A,5,EquipItem,Weapon,None,False
WHPSW02_B,6,EquipItem,Weapon,None,False
WHPSW02_C,7,EquipItem,Weapon,None,False
WHPSW02_D,8,EquipItem,Weapon,None,False
WHPSW03_A,5,EquipItem,Weapon,None,False
WHPSW03_B,6,EquipItem,Weapon,None,False
WHPSW03_C,7,EquipItem,Weapon,None,False
WHPSW03_D,8,EquipItem,Weapon,None,False
WHPSW04_A,5,EquipItem,Weapon,None,False
WHPSW04_B,6,EquipItem,Weapon,None,False
WHPSW04_C,7,EquipItem,Weapon,None,False
WHPSW04_D,8,EquipItem,Weapon,None,False
WHPSW05_A,5,EquipItem,Weapon,None,False
WHPSW05_B,6,EquipItem,Weapon,None,False
WHPSW05_C,7,EquipItem,Weapon,None,False
WHPSW05_D,8,EquipItem,Weapon,None,False
WHPSW06_A,6,EquipItem,Weapon,Strong,False
WHPSW06_B,8,EquipItem,Weapon,Strong,False
WHPSW07_A,7,EquipItem,Weapon,RareM,False
WHPSW07_B,9,EquipItem,Weapon,RareM,False
WHPSW08_A,4,EquipItem,Weapon,RareM,False
WHPSW08_B,6,EquipItem,Weapon,RareM,False
WHPSW08_C,8,EquipItem,Weapon,RareM,False
WHPSW09_A,5,EquipItem,Weapon,RareM,False
WHPSW09_B,6,EquipItem,Weapon,RareM,False
WHPSW09_C,8,EquipItem,Weapon,RareM,False
WHPSW09_D,9,EquipItem,Weapon,RareM,False
WHPSW10_A,6,EquipItem,Weapon,RareM,False
WHPSW10_B,8,EquipItem,Weapon,RareM,False
WHPSW11_A,5,EquipItem,Weapon,RareM,False
WHPSW11_B,7,EquipItem,Weapon,RareM,False
WHPSW11_C,9,EquipItem,Weapon,RareM,False
GLONE_OLD_01,2,EquipItem,Weapon,None,False
GLONE_OLD_02,2,EquipItem,Weapon,None,False
GLONE01_A,3,EquipItem,Weapon,None,False
GLONE01_B,4,EquipItem,Weapon,None,False
GLONE01_C,5,EquipItem,Weapon,None,False
GLONE01_D,6,EquipItem,Weapon,None,False
GLONE01_E,7,EquipItem,Weapon,None,False
GLONE01_F,8,EquipItem,Weapon,None,False
GLONE02_A,5,EquipItem,Weapon,RareM,False
GLONE02_B,6,EquipItem,Weapon,RareM,False
GLONE02_C,7,EquipItem,Weapon,RareM,False
GLONE02_D,8,EquipItem,Weapon,RareM,False
GLONE03_A,7,EquipItem,Weapon,RareM,False
GLONE03_B,9,EquipItem,Weapon,RareM,False
GLONE04_A,3,EquipItem,Weapon,None,False
GLONE04_B,4,EquipItem,Weapon,None,False
GLONE04_C,6,EquipItem,Weapon,None,False
GLONE04_D,7,EquipItem,Weapon,None,False
GLONE05_A,5,EquipItem,Weapon,None,False
GLONE05_B,6,EquipItem,Weapon,None,False
GLONE05_C,7,EquipItem,Weapon,None,False
GLONE05_D,8,EquipItem,Weapon,None,False
GLONE06_A,6,EquipItem,Weapon,RareM,False
GLONE06_B,9,EquipItem,Weapon,RareM,False
GLONE07_A,5,EquipItem,Weapon,None,False
GLONE07_B,6,EquipItem,Weapon,None,False
GLONE07_C,7,EquipItem,Weapon,None,False
GLONE07_D,8,EquipItem,Weapon,None,False
GLONE08_A,5,EquipItem,Weapon,RareM,False
GLONE08_B,6,EquipItem,Weapon,RareM,False
GLONE08_C,8,EquipItem,Weapon,RareM,False
GLONE09_A,6,EquipItem,Weapon,RareM,False
GLONE09_B,8,EquipItem,Weapon,RareM,False
GLONE09_C,9,EquipItem,Weapon,RareM,False
GLONE10_A,5,EquipItem,Weapon,None,False
GLONE10_B,6,EquipItem,Weapon,None,False
GLONE10_C,7,EquipItem,Weapon,None,False
GLONE10_D,8,EquipItem,Weapon,None,False
GLONE11_A,4,EquipItem,Weapon,RareM,False
GLONE11_B,6,EquipItem,Weapon,RareM,False
GLONE11_C,8,EquipItem,Weapon,RareM,False
GLONE12_A,9,EquipItem,Weapon,RareM,False
GLONE13_A,5,EquipItem,Weapon,None,False
GLONE13_B,6,EquipItem,Weapon,None,False
GLONE13_C,7,EquipItem,Weapon,None,False
GLONE13_D,8,EquipItem,Weapon,None,False
GLONE14_A,5,EquipItem,Weapon,RareM,False
GLONE14_B,7,EquipItem,Weapon,RareM,False
GLONE15_A,9,EquipItem,Weapon,RareM,False
GLONE16_A,5,EquipItem,Weapon,RareM,False
GLONE17_A,7,EquipItem,Weapon,RareM,False
GLONE18_A,9,EquipItem,Weapon,RareM,False
GHMAC_OLD_01,2,EquipItem,Weapon,None,False
GHMAC_OLD_02,4,EquipItem,Weapon,None,False
GHMAC_OLD_03,6,EquipItem,Weapon,None,False
GHMAC_OLD_04,8,EquipItem,Weapon,None,False
GHMAC01_A,3,EquipItem,Weapon,None,False
GHMAC01_B,4,EquipItem,Weapon,None,False
GHMAC01_C,4,EquipItem,Weapon,None,False
GHMAC01_D,6,EquipItem,Weapon,None,False
GHMAC01_E,8,EquipItem,Weapon,None,False
GHMAC02_A,5,EquipItem,Weapon,None,False
GHMAC02_B,6,EquipItem,Weapon,None,False
GHMAC02_C,7,EquipItem,Weapon,None,False
GHMAC02_D,8,EquipItem,Weapon,None,False
GHMAC02_E,9,EquipItem,Weapon,None,False
GHMAC02_2_A,9,EquipItem,Weapon,None,False
GHFLA01_ZERO,3,EquipItem,Weapon,None,False
GHFLA01_A,5,EquipItem,Weapon,None,False
GHFLA01_B,6,EquipItem,Weapon,None,False
GHFLA01_C,7,EquipItem,Weapon,None,False
GHFLA01_D,8,EquipItem,Weapon,None,False
GHFLA01_2_A,9,EquipItem,Weapon,RareM,False
GHFLA02_A,4,EquipItem,Weapon,RareM,False
GHFLA02_B,6,EquipItem,Weapon,RareM,False
GHFLA02_C,8,EquipItem,Weapon,RareM,False
GHFLA02_D,9,EquipItem,Weapon,RareM,False
GHELE01_A,5,EquipItem,Weapon,None,False
GHELE01_B,6,EquipItem,Weapon,None,False
GHELE01_C,7,EquipItem,Weapon,None,False
GHELE01_D,8,EquipItem,Weapon,None,False
GHELE01_2_A,9,EquipItem,Weapon,RareM,False
GHELE02_A,4,EquipItem,Weapon,RareM,False
GHELE02_B,6,EquipItem,Weapon,RareM,False
GHELE02_C,8,EquipItem,Weapon,RareM,False
GHELE02_D,9,EquipItem,Weapon,RareM,False
GHBOM01_A,5,EquipItem,Weapon,None,False
GHBOM01_B,6,EquipItem,Weapon,None,False
GHBOM01_C,7,EquipItem,Weapon,None,False
GHBOM01_D,8,EquipItem,Weapon,None,False
GHBOM01_2_A,9,EquipItem,Weapon,RareM,False
GHBOM02_A,4,EquipItem,Weapon,RareM,False
GHBOM02_B,6,EquipItem,Weapon,RareM,False
GHBOM02_C,8,EquipItem,Weapon,RareM,False
GHBOM02_D,9,EquipItem,Weapon,RareM,False
GHCHE01_A,5,EquipItem,Weapon,None,False
GHCHE01_B,6,EquipItem,Weapon,None,False
GHCHE01_C,7,EquipItem,Weapon,None,False
GHCHE01_D,8,EquipItem,Weapon,None,False
GHCHE01_2_A,9,EquipItem,Weapon,RareM,False
GHCHE02_A,4,EquipItem,Weapon,RareM,False
GHCHE02_B,6,EquipItem,Weapon,RareM,False
GHCHE02_C,8,EquipItem,Weapon,RareM,False
GHCHE02_D,9,EquipItem,Weapon,RareM,False
BLADGEAR_SWORD00,3,EquipItem,Weapon,None,True
BLADGEAR_SWORD01,4,EquipItem,Weapon,None,True
BLADGEAR_GUN00,3,EquipItem,Weapon,None,True
BLADGEAR_GUN01,4,EquipItem,Weapon,None,True
WLLSW_DW,5,EquipItem,Weapon,None,False
GLONE_DW,5,EquipItem,Weapon,None,False
MAMCR01_DW,1,EquipItem,None,None,True
MAMCR02_DW,1,EquipItem,None,None,True
MAMCR03_DW,1,EquipItem,None,None,True
MAMCR04_DW,1,EquipItem,None,None,True
MAMCR05_DW,1,EquipItem,None,None,True
MAMCR06_DW,1,EquipItem,None,None,True
MAMCR07_DW,1,EquipItem,None,None,True
MAMCR08_DW,1,EquipItem,None,None,True
MAMCR09_DW,1,EquipItem,None,None,True
MAMCR10_DW,1,EquipItem,None,None,True
MAMCR11_DW,1,EquipItem,None,None,True
MAMCR12_DW,1,EquipItem,None,None,True
MAMCR13_DW,1,EquipItem,None,None,True
MAMCR14_DW,1,EquipItem,None,None,True
MAMCR15_DW,1,EquipItem,None,None,True
MAMCR16_DW,1,EquipItem,None,None,True
MAMCR17_DW,1,EquipItem,None,None,True
MAMCR18_DW,1,EquipItem,None,None,True
WLLSW01_MW,5,EquipItem,Weapon,None,False
WHGSW01_MW,5,EquipItem,Weapon,None,False
GLONE01_MW,5,EquipItem,Weapon,None,False
GHMAC01_MW,5,EquipItem,Weapon,None,False
MACL01_A,2,EquipItem,Armor,None,False
MACL02_A,2,EquipItem,Armor,None,False
MACL03_A,2,EquipItem,Armor,None,False
MACL04_A,5,EquipItem,Armor,None,False
MANA01_A,2,EquipItem,Armor,None,False
MANA02_A,3,EquipItem,Armor,None,False
MANA03_A,5,EquipItem,Armor,None,False
MANA04_A,6,EquipItem,Armor,None,False
MANA05_A,6,EquipItem,Armor,None,False
MANA05_B,8,EquipItem,Armor,None,False
MANA05_C,9,EquipItem,Armor,None,False
MANA06_A,5,EquipItem,Armor,None,False
MANA07_A,6,EquipItem,Armor,None,False
MANA08_A,7,EquipItem,Armor,None,False
MANA09_A,8,EquipItem,Armor,None,False
MANA09_B,9,EquipItem,Armor,None,False
MANA10_A,8,EquipItem,Armor,None,False
MANA10_B,9,EquipItem,Armor,None,False
MANA_BONE01,4,EquipItem,Armor,None,False
MANA_BONE02,6,EquipItem,Armor,None,False
MANA_BONE03,8,EquipItem,Armor,None,False
MANA_BONE04,9,EquipItem,Armor,None,False
MANA_BEAST01,4,EquipItem,Armor,None,False
MANA_BEAST02,6,EquipItem,Armor,None,False
MANA_BEAST03,8,EquipItem,Armor,None,False
MANA_BEAST04,9,EquipItem,Armor,None,False
MANA_SNAKE01,4,EquipItem,Armor,None,False
MANA_SNAKE02,5,EquipItem,Armor,None,False
MANA_SNAKE03,7,EquipItem,Armor,None,False
MANA_SNAKE04,9,EquipItem,Armor,None,False
MANA11_A,3,EquipItem,Armor,None,False
MANA12_A,4,EquipItem,Armor,None,False
MANA13_A,5,EquipItem,Armor,None,False
MANA14_A,6,EquipItem,Armor,None,False
MANA15_A,7,EquipItem,Armor,None,False
MANA15_B,8,EquipItem,Armor,None,False
MANA16_A,9,EquipItem,Armor,None,False
MAFA01_A,4,EquipItem,Armor,Strong,False
MAFA02_A,5,EquipItem,Armor,Strong,False
MAFA03_A,6,EquipItem,Armor,Strong,False
MAFA04_A,7,EquipItem,Armor,Strong,False
MAFA05_A,8,EquipItem,Armor,Strong,False
MAFA06_A,9,EquipItem,Armor,Strong,False
MAFA07_A,9,EquipItem,Armor,Strong,False
MAFA08_A,7,EquipItem,Armor,None,False
MAFA09_A,8,EquipItem,Armor,None,False
MARO00_A,2,EquipItem,Armor,None,False
MARO00_B,2,EquipItem,Armor,None,False
MARO01_A,3,EquipItem,Armor,None,False
MARO02_A,4,EquipItem,Armor,None,False
MARO03_A,5,EquipItem,Armor,None,False
MARO04_A,6,EquipItem,Armor,None,False
MARO05_A,8,EquipItem,Armor,None,False
MARO05_B,9,EquipItem,Armor,None,False
MARO06_A,5,EquipItem,Armor,None,False
MARO06_B,8,EquipItem,Armor,None,False
MARO07_A,5,EquipItem,Armor,None,False
MARO07_B,8,EquipItem,Armor,None,False
MARO08_A,5,EquipItem,Armor,None,False
MARO08_B,8,EquipItem,Armor,None,False
MARO09_A,7,EquipItem,Armor,None,False
MARO10_A,5,EquipItem,Armor,None,False
MARO11_A,7,EquipItem,Armor,Glitter,False
MARO11_B,8,EquipItem,Armor,Glitter,False
MARO11_C,9,EquipItem,Armor,Glitter,False
MARO_ALL01,5,EquipItem,Armor,None,False
MARO_ALL02,7,EquipItem,Armor,None,False
MARO_ALL03,9,EquipItem,Armor,Womens,False
MARO12_A,4,EquipItem,Armor,Womens,False
MARO12_B,6,EquipItem,Armor,Womens,False
MARO12_C,8,EquipItem,Armor,Glitter,False
MARO12_D,9,EquipItem,Armor,Womens,False
MARO13_A,4,EquipItem,Armor,None,False
MARO14_A,6,EquipItem,Armor,None,False
MARO15_A,8,EquipItem,Armor,None,False
MACW01_DM,2,EquipItem,None,None,True
MACW02_DM,2,EquipItem,None,None,True
MACW03_DM,2,EquipItem,None,None,True
MACW04_DM,2,EquipItem,None,None,True
MACW05_DM,3,EquipItem,None,None,True
MACW06_DM,3,EquipItem,None,None,True
MACW07_DM,3,EquipItem,None,None,True
