label, Attack, AttackCount, AddSingleStageDamage, AddOverAttackDamage, BP, Hit, SureHit, Hate, Speed, AfterCasterSpeed, AfterTargetSpeed, Attribute, BaseParameter, BeforeGuard, AfterGuard, OverAttack, OverAttackLeft, OverAttackRight, OverAttackSelf, Bump, Limit, HitArea, Penetration, RaceSlayer, Random, ReserveType, ReserveProb, ReserveCancel, TargetType, TargetParty, Trace, TraceDifficulty, Turn, BaseElement, EffectType, EffectParam, AddEffectSequence, AddEffect, AddEffectParam, DisableSelect
OHS_WLRAP_A02_EX1, 26, 1, 12, 21, 3, 98, _NOT_SPECIFIED_, 22, -4, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, 1, _NOT_SPECIFIED_, 1, 1, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Paralysis _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 50 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLRAP_B01_EX1, 16, 1, 12, 21, 3, 98, _NOT_SPECIFIED_, 16, 1, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 1, All, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLRAP_B02_EX1, 80, 1, 7, 23, 5, 98, 1, 35, 3, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 10, Counter, 84, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, InvalidGuard _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLDAG_A01_EX1, 39, 1, 5, 21, 3, 95, _NOT_SPECIFIED_, 6, 1, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, InterruptSlash, 100, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Poison InvalidGuard _NOT_SPECIFIED_ _NOT_SPECIFIED_, 75 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLDAG_B01_EX1, 31, 1, 12, 21, 3, 95, _NOT_SPECIFIED_, 6, 4, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 2, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 1, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLDAG_B02_EX1, 60, 1, 6, 22, 4, 95, 1, 8, -3, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Counter, 82, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Death InvalidGuard _NOT_SPECIFIED_ _NOT_SPECIFIED_, 25 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLDAG_B03_EX1, 34, 1, 13, 22, 4, 95, _NOT_SPECIFIED_, 6, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 2, 2, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Stun None _NOT_SPECIFIED_ _NOT_SPECIFIED_, 50 0 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLAXE_A01_EX1, 26, 1, 11, 20, 2, 94, _NOT_SPECIFIED_, 22, -1, 2, 2, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Plant, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_At_01, Attack _NOT_SPECIFIED_, 10 0, _NOT_SPECIFIED_
OHS_WLAXE_B01_EX1, 35, 1, 12, 21, 3, 94, _NOT_SPECIFIED_, 24, 2, 3, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ None _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ 0 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
OHS_WLAXE_B02_EX1, 31, 1, 12, 21, 3, 94, _NOT_SPECIFIED_, 23, -4, 3, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, ChantExtend _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 50 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_Mg_01, Magic _NOT_SPECIFIED_, 10 0, _NOT_SPECIFIED_
OHS_WLAXE_B03_EX1, 45, 1, 14, 23, 5, 94, _NOT_SPECIFIED_, 26, 3, 5, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 2, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Speed _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, -8 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WH000_A01_EX1, 31, 1, 24, 10, 2, 89, _NOT_SPECIFIED_, 40, 1, 4, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, HateUp _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WH000_A01_EX2, 30, 1, 24, 10, 2, 89, _NOT_SPECIFIED_, 38, 0, 4, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, None _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_Mg_01, Magic _NOT_SPECIFIED_, 20 _NOT_SPECIFIED_, _NOT_SPECIFIED_
THS_WH000_A02_EX1, 53, 1, 5, 11, 3, 99, _NOT_SPECIFIED_, 49, 0, 6, 4, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, InterruptStab, 100, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Attack InvalidGuard _NOT_SPECIFIED_ _NOT_SPECIFIED_, -20 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WH000_A04_EX1, 49, 1, 27, 13, 5, 88, _NOT_SPECIFIED_, 47, -1, 10, 5, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 2, 0, 1, 1, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, Defense _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, -10 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WH000_B01_EX1, 33, 1, 29, 15, 7, 89, _NOT_SPECIFIED_, 40, 0, 14, 6, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Wil, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 1, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, All, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WHGSW_A01_EX1, 42, 1, 25, 11, 3, 87, _NOT_SPECIFIED_, 46, 2, 6, 4, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Qui Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 0, 2, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Chase, 100, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WHGSW_B01_EX1, 41, 1, 26, 12, 4, 89, _NOT_SPECIFIED_, 44, 1, 8, 4, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 1, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Mecha, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, ParalysisMecha _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 50 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WHGSW_B02_EX1, 36, 1, 25, 11, 3, 89, _NOT_SPECIFIED_, 42, -1, 6, 4, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, 1, _NOT_SPECIFIED_, 1, 2, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, HateUp _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, 100 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_Sp_01, Speed _NOT_SPECIFIED_, 8 0, _NOT_SPECIFIED_
THS_WHGSW_B03_EX1, 56, 1, 27, 13, 5, 86, _NOT_SPECIFIED_, 51, 2, 10, 5, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 1, 1, 3, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
THS_WHGSW_B04_EX1, 58, 1, 28, 14, 6, 89, _NOT_SPECIFIED_, 52, -2, 12, 6, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Str Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 3, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_, None, 0, 0, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, B0/Up_At_01, Attack _NOT_SPECIFIED_, 20 0, _NOT_SPECIFIED_
THS_WHSSW_A01_EX1, 30, 1, 24, 10, 2, 100, 0, 38, 2, 4, 3, _NOT_SPECIFIED_ _NOT_SPECIFIED_, Tec Vit, _NOT_SPECIFIED_, _NOT_SPECIFIED_, 1, 0, 0, 1, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Asmodian, _NOT_SPECIFIED_, None, 0, 1, Single, Target, 0, 0, 0, _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ None _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_ 0 _NOT_SPECIFIED_ _NOT_SPECIFIED_, _NOT_SPECIFIED_, _NOT_SPECIFIED_ _NOT_SPECIFIED_, 0 0, _NOT_SPECIFIED_
