label,Attack,AttackCount,AddSingleStageDamage,AddOverAttackDamage,BP,Hit,SureHit,Hate,Weapon,WeaponSub,Speed,AfterCasterSpeed,AfterTargetSpeed,Attribute,BaseParameter,BeforeGuard,AfterGuard,OverAttack,OverAttackLeft,OverAttackRight,OverAttackSelf,Bump,Limit,HitArea,Penetration,RaceSlayer,Random,ReserveType,ReserveProb,ReserveCancel,TargetType,TargetParty,Trace,TraceDifficulty,Turn,BaseElement,EffectType,EffectParam,AddEffectSequence,AddEffect,AddEffectParam,Sequence,DisableSelect,DisableOutActor,DisableOutActorObject
OHS_WLLSW_B01_A,43,1,12,21,3,95,0,26,OneHandedSword,LongSword,9,3,3,Slash None,Str Vit,0,0,1,0,3,1,0,0,None,0,None,0,None,0,0,Single,Target,0,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLLSW_B01,0,1,0
OHS_WLLSW_B02,28,1,12,21,3,100,0,22,OneHandedSword,LongSword,2,3,3,Slash None,Str Wil,0,0,1,0,2,1,1,0,Air,0,None,0,None,0,0,AreaBack,Target,1,1,0,None None None,AreaBump None None None,100 0 0 0,None,None None,0 0,WLLSW_B02,0,1,0
OHS_WLLSW_B03,40,1,13,22,4,95,0,25,OneHandedSword,LongSword,3,4,3,Stab None,Str Vit,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLLSW_B03,0,1,0
OHS_WLLSW_B04,47,1,14,23,5,95,0,27,OneHandedSword,LongSword,-2,5,3,Slash None,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLLSW_B04,0,1,0
OHS_WLRAP_A01,25,1,11,20,2,98,0,21,OneHandedSword,Rapier,-1,0,0,Stab Ice,Qui Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,HateReset None None None,0 0 0 0,None,None None,0 0,WLRAP_A01,0,0,0
OHS_WLRAP_A02,28,1,12,21,3,98,0,22,OneHandedSword,Rapier,-2,0,0,Stab Lightning,Qui Vit,0,0,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Paralysis None None None,25 0 0 0,None,None None,0 0,WLRAP_A02,0,0,0
OHS_WLRAP_B01,20,1,13,22,4,98,0,20,OneHandedSword,Rapier,-3,0,0,Stab None,Qui Vit,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLRAP_B01,0,1,0
OHS_WLRAP_B02,45,1,14,23,5,98,0,26,OneHandedSword,Rapier,2,0,0,Stab None,Qui Vit,0,0,1,0,2,1,0,0,None,0,None,10,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLRAP_B02,0,1,0
OHS_WLDAG_A01,24,1,11,20,2,95,0,5,OneHandedSword,Dagger,1,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Poison None None None,50 0 0 0,None,None None,0 0,WLDAG_A01,0,0,0
OHS_WLDAG_B01,31,1,12,21,3,95,0,6,OneHandedSword,Dagger,2,0,0,Slash None,Tec Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,1,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLDAG_B01,0,0,0
OHS_WLDAG_B02,36,1,13,22,4,95,0,6,OneHandedSword,Dagger,-2,0,0,Stab None,Qui Vit,0,0,1,0,0,0,0,0,None,0,None,0,Chase,100,0,Single,Target,1,1,0,None None None,Death None None None,25 0 0 0,None,None None,0 0,WLDAG_B02,0,0,0
OHS_WLDAG_B03,67,1,7,23,5,95,0,8,OneHandedSword,Dagger,-1,0,0,Slash None,Tec Vit,0,0,1,0,0,1,0,0,None,0,None,0,InterruptStab,100,0,Single,Target,1,1,0,None None None,Stun InvalidGuard None None,50 100 0 0,None,None None,0 0,WLDAG_B03,0,1,0
OHS_WLAXE_A01,34,1,12,21,3,94,0,24,OneHandedSword,Axe,-2,3,3,Slash None,Str Vit,0,0,1,0,0,1,0,0,None,0,Plant,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLAXE_A01,0,0,0
OHS_WLAXE_B01,66,1,6,22,4,94,0,32,OneHandedSword,Axe,0,4,3,Slash None,Tec Vit,0,0,1,0,0,1,0,0,None,0,None,0,InterruptStrike,100,0,Single,Target,1,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,WLAXE_B01,0,1,0
OHS_WLAXE_B02,46,1,14,23,5,94,0,26,OneHandedSword,Axe,-3,5,3,Slash Strike,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,ChantExtend None None None,50 0 0 0,None,None None,0 0,WLAXE_B02,0,1,0
OHS_WLAXE_B03,53,1,15,24,6,94,0,28,OneHandedSword,Axe,4,6,4,Slash None,Str Vit,0,0,1,0,2,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLAXE_B03,0,1,0
OHS_WLAXE_B03_EX1_BASE,53,1,15,24,6,94,0,28,OneHandedSword,Axe,4,6,4,Slash None,Str Vit,0,0,1,0,2,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLAXE_B03a,0,1,0
OHS_WLTSW_A01,51,1,14,26,5,98,0,28,OneHandedSword,TwoSwordStyle,-1,10,5,Slash Stab,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLTSW_A01,0,0,0
OHS_WLTSW_B01,71,4,15,27,6,98,0,8,OneHandedSword,TwoSwordStyle,-2,12,6,Slash None,Str Vit,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WLTSW_B01,0,1,0
OHS_WLTSW_B02,90,1,8,27,6,98,0,38,OneHandedSword,TwoSwordStyle,-3,12,6,Slash Stab,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptSlash,100,0,Single,Target,0,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,WLTSW_B02,0,0,0
THS_WH000_A01,32,1,24,10,2,89,0,40,TwoHandedSword,StandardGSword,0,4,3,Slash Strike,Str Vit,0,0,1,1,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WH000_A01,0,0,0
THS_WH000_A02,37,1,25,11,3,89,0,42,TwoHandedSword,StandardGSword,1,6,4,Slash None,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Attack None None None,-10 0 0 0,None,None None,0 0,WH000_A02,0,0,0
THS_WH000_A02_SOUL_BASE,37,1,25,11,3,89,0,42,TwoHandedSword,StandardGSword,1,6,4,Slash None,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Attack None None None,-10 0 0 0,None,None None,0 0,WH000_A02a,0,0,0
THS_WH000_PROTECT,60,1,25,11,3,0,0,0,TwoHandedSword,StandardGSword,0,0,0,None None,None None,0,0,0,0,0,0,0,0,None,0,None,0,Protect,100,0,Other,Caster,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WH000_A03,1,0,0
THS_WH000_A04,42,1,26,12,4,89,0,46,TwoHandedSword,StandardGSword,-1,8,4,Slash Strike,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Defense None None None,-10 0 0 0,None,None None,0 0,WH000_A04,0,0,0
THS_WH000_A04_SOUL_BASE,42,1,26,12,4,89,0,46,TwoHandedSword,StandardGSword,-1,8,4,Slash Strike,Str Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Defense None None None,-10 0 0 0,None,None None,0 0,WH000_A04a,0,0,0
THS_WH000_B01,32,1,28,14,6,89,0,40,TwoHandedSword,StandardGSword,-2,12,6,Slash None,Str Wil,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WH000_B01,0,1,0
THS_WH000_B01_A,11,1,34,20,2,49,0,19,TwoHandedSword,StandardGSword,-3,4,3,Slash None,Str Wil,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WH000_B01,0,1,0
THS_WHGSW_A01,40,1,25,11,3,88,0,44,TwoHandedSword,GreatSword,-2,6,4,Slash Strike,Str Vit,0,0,1,1,0,1,1,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHGSW_A01,0,0,0
THS_WHGSW_A01_A,46,1,26,12,4,88,0,46,TwoHandedSword,GreatSword,-5,8,4,Slash Strike,Str Vit,1,0,1,1,0,1,1,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHGSW_A01,0,0,0
THS_WHGSW_B01,47,1,26,12,4,89,0,47,TwoHandedSword,GreatSword,2,8,4,Slash Lightning,Str Vit,0,0,1,0,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHGSW_B01,0,0,0
THS_WHGSW_B02,52,1,27,13,5,89,0,49,TwoHandedSword,GreatSword,-2,10,5,Stab None,Str Vit,1,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,HateUp None None None,100 0 0 0,None,None None,0 0,WHGSW_B02,0,0,0
THS_WHGSW_B03,62,1,28,14,6,88,0,52,TwoHandedSword,GreatSword,1,12,6,Strike None,Str Vit,0,0,1,0,1,1,1,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHGSW_B03,0,1,0
THS_WHGSW_B04,68,1,29,15,7,89,0,56,TwoHandedSword,GreatSword,-3,14,6,Strike None,Str Vit,0,0,1,3,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHGSW_B04,0,1,0
THS_WHSSW_A01,65,1,5,11,3,100,1,54,TwoHandedSword,SmuraiSword,-2,6,4,Slash None,Tec Vit,0,0,1,0,0,1,0,0,None,0,Asmodian,0,Counter,80,0,Single,Target,1,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,WHSSW_A01,0,0,0
THS_WHSSW_B01,49,1,26,12,4,89,0,47,TwoHandedSword,SmuraiSword,2,8,4,Slash None,Str Vit,0,0,1,0,2,1,0,0,Ground,0,None,0,None,0,1,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHSSW_B01,0,0,0
THS_WHSSW_B02,82,1,7,13,5,89,0,63,TwoHandedSword,SmuraiSword,-3,10,5,Slash None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptSlash,100,0,Single,Target,1,1,0,None None None,Stun InvalidGuard None None,50 100 0 0,None,None None,0 0,WHSSW_B02,0,1,0
THS_WHSSW_B03,62,1,28,14,6,89,1,52,TwoHandedSword,SmuraiSword,0,12,6,Slash None,Qui Vit,0,0,1,0,0,0,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,InvalidGuard None None None,100 0 0 0,None,None None,0 0,WHSSW_B03,0,1,0
THS_WHSSW_B04,65,1,29,15,7,89,0,54,TwoHandedSword,SmuraiSword,-2,14,6,Slash Ice,Str Vit,1,0,1,2,2,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHSSW_B04,0,1,0
THS_WHSSW_B04_EX1_BASE,65,1,29,15,7,89,0,54,TwoHandedSword,SmuraiSword,-2,14,6,Slash Ice,Str Vit,1,0,1,2,2,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHSSW_B04a,0,1,0
THS_WHPSW_A01,31,1,24,10,2,100,0,40,TwoHandedSword,Halberd,-2,4,3,Stab None,Tec Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHPSW_A01,0,0,0
THS_WHPSW_A01_EX1_BASE,31,1,24,10,2,100,0,40,TwoHandedSword,Halberd,-2,4,3,Stab None,Tec Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHPSW_A01a,0,0,0
THS_WHPSW_B01,40,1,25,11,3,92,0,44,TwoHandedSword,Halberd,-1,6,4,Slash None,Tec Vit,0,0,1,2,0,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHPSW_B01,0,0,0
THS_WHPSW_B02,42,1,26,12,4,92,0,46,TwoHandedSword,Halberd,2,8,4,Stab None,Tec Vit,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,Paralysis None None None,25 0 0 0,None,None None,0 0,WHPSW_B02,0,1,0
THS_WHPSW_B02_A,35,1,25,11,3,92,0,42,TwoHandedSword,Halberd,-3,6,4,Stab None,Qui Vit,0,0,1,0,0,0,0,0,Air,0,None,0,Follow,100,1,Other,Target,1,1,0,None None None,Paralysis None None None,25 0 0 0,None,None None,0 0,WHPSW_B02,0,1,0
THS_WHPSW_B03,54,1,27,13,5,92,0,49,TwoHandedSword,Halberd,-2,10,5,Slash None,Tec Vit,0,0,1,1,1,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,WHPSW_B03,0,0,0
THS_WHPSW_B04,56,1,28,14,6,92,0,51,TwoHandedSword,Halberd,3,12,6,Slash Strike,Tec Vit,0,0,1,0,3,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,WHPSW_B04,0,1,0
THS_WHPSW_B04_EX1_BASE,56,1,28,14,6,92,0,51,TwoHandedSword,Halberd,3,12,6,Slash Strike,Tec Vit,0,0,1,0,3,1,0,0,None,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,WHPSW_B04a,0,1,0
OHG_GL000_A01,21,1,10,19,1,97,0,20,OneHandedGun,StandardOGun,0,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GL000_A01,0,0,0
OHG_GL000_A02,44,1,4,20,2,92,0,26,OneHandedGun,StandardOGun,-1,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptStrike,100,0,Single,Target,1,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,GL000_A02,0,0,0
OHG_GL000_A04,44,1,4,20,2,92,0,26,OneHandedGun,StandardOGun,2,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptStab,100,0,Single,Target,1,1,0,None None None,None InvalidGuard None None,0 100 0 0,None,None None,0 0,GL000_A04,0,0,0
OHG_GL000_A05,27,1,11,20,2,92,0,22,OneHandedGun,StandardOGun,-1,0,0,Stab None,Tec Vit,0,0,1,1,1,1,0,0,Ground,0,None,0,None,0,1,Single,Target,1,1,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,GL000_A05,0,0,0
OHG_GL000_B01,29,1,11,9,2,92,0,22,OneHandedGun,StandardOGun,1,0,0,Stab None,Qui Vit,0,0,1,0,0,0,0,0,Air,0,None,0,Follow,100,1,Other,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GL000_B01,0,0,0
OHG_GL000_B03,32,1,13,22,4,92,0,23,OneHandedGun,StandardOGun,3,0,0,Stab None,Tec Vit,0,0,1,0,4,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,OverAttackBuff None None None,10 0 0 0,None,None None,0 0,GL000_B03,0,0,0
OHG_GL000_B04,49,1,5,21,3,92,0,27,OneHandedGun,StandardOGun,-1,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,InterruptSlash,100,0,Single,Target,1,1,0,None None None,Attack InvalidGuard None None,-10 100 0 0,None,None None,0 0,GL000_B04,0,1,0
OHG_GL000_B05,27,1,12,21,3,92,0,22,OneHandedGun,StandardOGun,2,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,1,None,0,None,0,1,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GL000_B05,0,1,0
OHG_GL000_B06,40,1,13,22,4,92,0,25,OneHandedGun,StandardOGun,3,0,0,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,ChantExtend None None None,50 0 0 0,None,None None,0 0,GL000_B06,0,0,0
OHG_GL000_B08,44,1,14,23,5,100,0,26,OneHandedGun,StandardOGun,1,0,0,Stab None,Tec Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GL000_B08,0,1,0
OHG_GLTWO_A01,60,2,14,26,5,95,0,15,OneHandedGun,DualWield,0,10,5,Stab None,Tec Vit,0,0,1,0,0,1,0,0,Air,0,None,0,None,0,1,RandomAll,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GLTWO_A01,0,0,0
OHG_GLTWO_A02,25,1,13,25,4,95,0,21,OneHandedGun,DualWield,1,8,4,Stab None,Tec Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GLTWO_A02,0,1,0
OHG_GLTWO_B01,31,1,15,27,6,95,0,23,OneHandedGun,DualWield,-1,12,6,Stab None,Tec Vit,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,All,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GLTWO_B01,0,1,0
OHG_SG000_B01,49,1,15,27,5,98,0,27,OneHandedGun,GunAndSword,0,10,5,Slash Stab,Tec Vit,0,0,1,1,1,1,0,0,Air,0,Asmodian,0,None,0,0,Single,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,SG000_B01,0,0,0
OHG_SG000_B02,43,1,13,25,4,98,0,26,OneHandedGun,GunAndSword,1,8,4,Slash Stab,Tec Vit,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,0,Single,Target,0,1,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,SG000_B02,0,1,0
OHG_SG000_B03,71,6,15,27,6,98,0,6,OneHandedGun,GunAndSword,-1,12,6,Strike None,Tec Vit,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,RandomAll,Target,0,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,SG000_B03,0,1,0
THG_GH000_A01,44,1,27,5,3,86,0,46,TwoHandedGun,StandardTGun,0,6,4,Strike None,Tec Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GH000_A01,0,0,0
THG_GH000_A02,41,1,27,5,3,86,0,44,TwoHandedGun,StandardTGun,-2,6,4,Strike None,Tec Vit,0,0,1,2,0,1,0,0,Ground,0,None,0,None,0,1,Single,Target,1,0,0,None None None,Speed None None None,-8 0 0 0,None,None None,0 0,GH000_A02,0,0,0
THG_GH000_A03,50,1,28,6,4,86,0,49,TwoHandedGun,StandardTGun,-1,8,4,Strike None,Tec Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,1,0,None None None,HateUp None None None,100 0 0 0,None,None None,0 0,GH000_A03,0,0,0
THG_GH000_A04,55,1,29,7,5,86,0,51,TwoHandedGun,StandardTGun,-3,10,5,Strike None,Tec Vit,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,0,0,None None None,Defense None None None,-10 0 0 0,None,None None,0 0,GH000_A04,0,0,0
THG_GH000_B01,61,1,30,8,6,86,0,52,TwoHandedGun,StandardTGun,-1,12,6,Strike None,Tec Vit,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,B0/Up_At_01,Attack None,10 0,GH000_B01,0,0,0
THG_GH000_B02,32,1,30,8,6,86,0,40,TwoHandedGun,StandardTGun,-1,12,6,Strike None,Tec Vit,0,0,1,2,2,1,0,0,Air,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GH000_B02,0,1,0
THG_GH000_B02_SOUL_BASE,32,1,30,8,6,86,0,40,TwoHandedGun,StandardTGun,-1,12,6,Strike None,Tec Vit,0,0,1,2,2,1,0,0,Air,0,None,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GH000_B02b,0,1,0
THG_GHMAC_A01,44,1,27,5,3,86,0,46,TwoHandedGun,MachineGun,1,6,4,Slash None,Tec Vit,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,1,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHMAC_A01,0,0,0
THG_GHMAC_B01,25,1,28,6,4,86,0,37,TwoHandedGun,MachineGun,0,8,4,Stab None,Tec Vit,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,All,Target,1,0,0,None None None,Darkness None None None,50 0 0 0,None,None None,0 0,GHMAC_B01,0,1,0
THG_GHMAC_B02,73,6,29,7,5,86,0,10,TwoHandedGun,MachineGun,2,10,5,Stab None,Tec Vit,0,0,1,0,2,1,0,0,Air,0,None,0,None,0,1,RandomAll,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHMAC_B02,0,1,0
THG_GHFLA_A01,44,1,27,5,3,86,0,46,TwoHandedGun,Flamethrower,1,6,4,Fire None,Tec Wil,0,0,1,1,1,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHFLA_A01,0,0,0
THG_GHFLA_B01,52,1,28,6,4,86,0,49,TwoHandedGun,Flamethrower,-2,8,4,Fire None,Tec Wil,0,0,1,1,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHFLA_B01,0,0,0
THG_GHFLA_B02,65,1,30,8,6,86,0,54,TwoHandedGun,Flamethrower,-4,12,6,Fire None,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHFLA_B02,0,0,0
THG_GHELE_A01,22,1,27,5,3,86,0,35,TwoHandedGun,TaserGun,1,6,4,Lightning None,Tec Wil,0,0,1,0,3,1,0,0,Air,0,Mecha,0,None,0,0,All,Target,1,1,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHELE_A01,0,1,0
THG_GHELE_A02,49,1,28,6,4,86,0,47,TwoHandedGun,TaserGun,-1,8,4,Lightning None,Tec Wil,0,0,1,2,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,2,0,None None None,Stun None None None,50 0 0 0,None,None None,0 0,GHELE_A02,0,0,0
THG_GHELE_B01,60,1,30,8,6,86,0,52,TwoHandedGun,TaserGun,-2,12,6,Lightning None,Tec Wil,0,0,1,3,0,1,0,0,Air,0,None,0,None,0,0,Single,Target,1,1,0,None None None,Paralysis None None None,50 0 0 0,None,None None,0 0,GHELE_B01,0,0,0
THG_GHBOM_A01,25,1,27,5,3,86,0,37,TwoHandedGun,Bazooka,-2,6,4,Strike None,Tec Wil,0,0,1,1,1,1,0,0,Ground,0,None,0,None,0,0,All,Target,1,0,0,None None None,None None None None,0 0 0 0,None,None None,0 0,GHBOM_A01,0,1,0
