BaseArts,ArtsName,ArtsText,OverAttackFirst,OverAttackLast,BloodArts,InheritArts,Inspiration,Invalid,Magic,MonsterArts,OriginalArts,Rankup,SoulArts
THS_WHPSW_B02,Stardust,(Enemy/Single Target/Antiair/DEX) Paralysis chance 25%.,Star,Dust,False,False,True,False,Flase,False,False,True,False
THS_WHPSW_B02_A,Chasing Double Star,(Enemy/Other/Antiair/MOB) Paralysis chance 25%.,Chasing,Double Star,False,False,False,False,Flase,False,False,True,False
THS_WHPSW_B03,Round Slicer,(Enemy/Single Target/DEX),Round,Slicer,False,False,True,False,Flase,False,False,True,False
THS_WHPSW_B04,Triumvirate,(Enemy/Single Target/DEX) Stun chance 50%.,Trium,Virate,False,False,True,False,Flase,False,False,True,False
THS_WHPSW_B04_EX1_BASE,,,Trium,Virate,False,False,False,False,Flase,False,False,False,False
OHG_GL000_A01,Sharp Shot,(Enemy/Single Target/Antiair/DEX),Sharp,Shot,False,False,False,False,Flase,False,False,True,False
OHG_GL000_A02,Threat Response,(Enemy/Single Target/Antiair/DEX),Threat,Response,False,False,True,False,Flase,False,False,True,False
OHG_GL000_A04,Quick Shot,(Enemy/Single Target/Antiair/DEX),Quick,Shot,False,False,True,False,Flase,False,False,True,False
OHG_GL000_A05,Stunning Shot,(Enemy/Single Target/Antiground/DEX) Stun chance 50%.,Stunning,Shot,False,False,True,False,Flase,False,False,True,False
OHG_GL000_B01,Covering Fire,(Ally/Other/Antiair/MOB),Covering,Fire,False,False,True,False,Flase,False,False,True,False
OHG_GL000_B03,Leading the People,(Enemy/Single Target/Antiair/DEX) When leading a United Attack all participants' attack power +10%.,Leading,The People,False,False,False,False,Flase,False,False,True,False
OHG_GL000_B04,Mightier than the Sword,(Enemy/Single Target/Antiair/DEX) Target attack power -10%.,Mightier Than,The Sword,False,False,True,False,Flase,False,False,True,False
OHG_GL000_B05,One for One,(Enemy/Single Target/Antiair/DEX),One,For One,False,False,True,False,Flase,False,False,True,False
OHG_GL000_B06,Sleight Shot,(Enemy/Single Target/Antiair/DEX) Distract chance 50%.,Sleight,Shot,False,False,True,False,Flase,False,False,True,False
OHG_GL000_B08,Bounding Shot,(Enemy/Single Target/Antiair/DEX),Bounding,Shot,False,False,True,False,Flase,False,False,True,False
OHG_GLTWO_A01,Switch,(Enemy/Random Target/Antiair/DEX),Swi,Tch,False,False,False,False,Flase,False,False,True,False
OHG_GLTWO_A02,Dual-Wield Wild Shot,(Enemy/All Targets/Antiair/DEX),Dual-Wield,Wild Shot,False,False,True,False,Flase,False,False,True,False
OHG_GLTWO_B01,Desperation,(Enemy/All Targets/Antiair/DEX),Desper,Ation,False,False,True,False,Flase,False,False,True,False
OHG_SG000_B01,Crossfire,(Enemy/Single Target/Antiair/DEX),Cross,Fire,False,False,False,False,Flase,False,False,True,False
OHG_SG000_B02,Ascension,(Enemy/Single Target/Antiair/DEX) Stun chance 50%.,Ascen,Sion,False,False,True,False,Flase,False,False,True,False
OHG_SG000_B03,Millionaire,(Enemy/Random Target/Antiair/DEX),Millio,Naire,False,False,True,False,Flase,False,False,True,False
THG_GH000_A01,Buckshot,(Enemy/Single Target/Antiair/DEX),Buck,Shot,False,False,False,False,Flase,False,False,True,False
THG_GH000_A02,Shockwave,(Enemy/Single Target/Antiground/DEX) Target speed -8%.,Shock,Wave,False,False,True,False,Flase,False,False,True,False
THG_GH000_A03,Sunlight Shower,(Enemy/Single Target/Antiair/DEX) Provoke enemy.,Sunlight,Shower,False,False,True,False,Flase,False,False,True,False
THG_GH000_A04,Chestbuster,(Enemy/Single Target/Antiair/DEX) Target defense -10%.,Chest,Buster,False,False,True,False,Flase,False,False,True,False
THG_GH000_B01,Trigger-Happy,(Enemy/Single Target/Antiair/DEX) Own attack power +10%.,Trigger-,Happy,False,False,False,False,Flase,False,False,True,False
THG_GH000_B02,Suppression,(Enemy/All Targets/Antiair/DEX),Sup,Pression,False,False,True,False,Flase,False,False,True,False
THG_GH000_B02_SOUL_BASE,,,Sup,Pression,False,False,False,False,Flase,False,False,False,False
THG_GHMAC_A01,Gatling Cutter,(Enemy/Single Target/Antiair/DEX),Gatling,Cutter,False,False,True,False,Flase,False,False,True,False
THG_GHMAC_B01,Bombarding Fire,(Enemy/All Targets/Antiair/DEX) Darkness chance 50%.,Bombarding,Fire,False,False,True,False,Flase,False,False,True,False
THG_GHMAC_B02,Lead Tempest,(Enemy/Random Target/Antiair/DEX),Lead,Tempest,False,False,True,False,Flase,False,False,True,False
THG_GHFLA_A01,Flame March,(Enemy/Single Target/Antiair/DEX),Flame,March,False,False,True,False,Flase,False,False,True,False
THG_GHFLA_B01,Fireball,(Enemy/Single Target/Antiair/DEX),Fire,Ball,False,False,True,False,Flase,False,False,True,False
THG_GHFLA_B02,Scorch,(Enemy/Single Target/Antiair/DEX),Sco,Rch,False,False,True,False,Flase,False,False,True,False
THG_GHELE_A01,Magnetic Storm,(Enemy/All Targets/Antiair/DEX),Magnetic,Storm,False,False,True,False,Flase,False,False,True,False
THG_GHELE_A02,Stunshock,(Enemy/Single Target/Antiair/DEX) Stun chance 50%.,Stun,Shock,False,False,True,False,Flase,False,False,True,False
THG_GHELE_B01,Plasma Shot,(Enemy/Single Target/Antiair/DEX) Paralysis chance 50%.,Plasma,Shot,False,False,True,False,Flase,False,False,True,False
THG_GHBOM_A01,Grand Slam,(Enemy/All Targets/Antiground/DEX),Grand,Slam,False,False,True,False,Flase,False,False,True,False
THG_GHBOM_B01,Break Shelter,(Enemy/Single Target/Antiair/DEX) Target defense -10%.,Break,Shelter,False,False,True,False,Flase,False,False,True,False
THG_GHBOM_B02,Daisy Cutter,(Enemy/All Targets/Antiair/DEX),Daisy,Cutter,False,False,True,False,Flase,False,False,True,False
THG_GHCHE_A01,Tear Gas,(Enemy/Single Target/Antiair/DEX) Target spell power -10%.,Tear,Gas,False,False,True,False,Flase,False,False,True,False
THG_GHCHE_B01,Poisonous Spray,(Enemy/Single Target/Antiair/DEX) Poison chance 75%.,Poisonous,Spray,False,False,True,False,Flase,False,False,True,False
THG_GHCHE_B02,Flash Freeze,(Enemy/Single Target/Antiair/DEX) Target attack power -10%.,Flash,Freeze,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A01,Punch,(Enemy/Single Target/STR),Pun,Ch,False,False,False,False,Flase,False,False,True,False
MAR_MA000_A07,Pressure Point,(Enemy/Single Target/DEX) Target defense -10%.,Pressure,Point,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B03,Raksha,(Enemy/Single Target/STR) Provoke enemy.,Rak,Sha,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B06,Shenlong Firefist,(Enemy/Single Target/STR) Own attack power +10%.,Shenlong,Firefist,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B08,Guanyin,(Enemy/Single Target/STR),Guan,Yin,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A02,Kick,(Enemy/Single Target/STR),K,Ick,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A08,Thunder Kick,(Enemy/Single Target/MOB),Thunder,Kick,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B01,Flash Flood,(Enemy/Single Target/STR),Flash,Flood,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B04,Triple Dragon,(Enemy/Single Target/STR),Triple,Dragon,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B07,Aerial Rush,(Enemy/Single Target/Antiair/MOB),Aerial,Rush,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A04,Tackle,(Enemy/Single Target/END),Tac,Kle,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A06,Flying Body Press,(Enemy/Single Target/END),Flying,Body Press,False,False,True,False,Flase,False,False,True,False
MAR_MA000_A09,Kawazu Throw,(Enemy/Single Target/Antiground/END) Stun chance 50%.,Kawazu,Throw,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B02,K.O. Throw,(Enemy/Single Target/Guaranteed Hit/DEX),K.O.,Throw,False,False,True,False,Flase,False,False,True,False
MAR_MA000_B09,Windwhistle,(Enemy/Single Target/END) Remove enmity. Provoke enemy.,Wind,Whistle,False,False,True,False,Flase,False,False,True,False
MCH_M901_A01a,Saw,(Enemy/Single Target/STR) Sudden death chance 25%.,S,Aw,False,False,False,False,Flase,False,False,True,False
MCH_M905_B01a,Cosmic Rave,(Enemy/Single Target/MOB),Cosmic,Rave,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A01a,Blade,(Enemy/Single Target/STR),B,Lade,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A01a_A,Quickblade,(Enemy/Single Target/STR),Quick,Blade,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A01a_B,Rawblade,(Enemy/Single Target/STR) Stun chance 50%.,Raw,Blade,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A02a,Multi-Slash,(Enemy/Single Target/STR),Multi-,Slash,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A02a_A,Spinslash,(Enemy/Single Target/STR),Spin,Slash,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A03a,Frenetic Advance,(Enemy/Single Target/DEX),Frenetic,Advance,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A03a_A,Frenetic Tracer,(Enemy/Single Target/MOB),Frenetic,Tracer,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A03a_B,Wallop,(Enemy/Single Target/STR),Wal,Lop,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A04a,Self-Destruct,(Enemy/Single Target) Detonate self to defeat an enemy.,Self-,Destruct,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A04a_B,Occasional Self-Destruct,(Enemy/Single Target) Detonate self to defeat an enemy.,Occasional,Self-Destruct,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A05a,Shock Sword,(Enemy/Single Target/Antiair/STR) Stun chance 25%. Mech stun chance 50%.,Shock,Sword,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A05a_A,Marvelous Sword,(Enemy/Single Target/Antiair/DEX) Stun chance 50%. Mech stun chance 50%.,Marvelous,Sword,False,False,False,False,Flase,False,False,True,False
MCH_M90X_A06a,Guardian Program,(Ally/Other) Take an attack intended for another ally. Reduces damage taken.,Guardian,Program,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B01a,Pop Knight,(Enemy/All Targets/Antiair/INT),Pop,Knight,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B01a_A,Rushing Knight,(Enemy/All Targets/Antiair/INT),Rushing,Knight,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B02a,Hammer,(Enemy/Single Target/STR) Paralysis chance 25%. Mech paralysis chance 50%.,Ham,Mer,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B02a_A,Magnetic Smash,(Enemy/Single Target/STR) Paralysis chance 50%. Mech paralysis chance 50%.,Magnetic,Smash,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B03a,Photon Sword,(Enemy/Single Target/Antiair/STR) Darkness chance 50%.,Photon,Sword,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B03a_A,Flash Sword,(Enemy/Single Target/Antiair/STR) Darkness chance 100%.,Flash,Sword,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B04a,Divine Might,(Enemy/Single Target/MOB) Stun chance 50%. Mech stun chance 75%.,Divine,Might,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B05a,Moon Scraper,(Enemy/All Targets/STR),Moon,Scraper,False,False,False,False,Flase,False,False,True,False
MCH_M90X_B06a,Tiger Break,(Enemy/Single Target/STR),Tiger,Break,False,False,False,False,Flase,False,False,True,False
MCH_Diva,Scattered Petals,(Enemy/Single Target/STR),Scattered,Petals,False,False,False,False,Flase,False,False,True,False
MCH_M903_B01a,Mech Sonata,(Enemy/All Targets/Antiair/INT) Mech stun chance 50%.,Mech,Sonata,False,False,False,False,Flase,False,False,True,False
MCH_M904_B01a,Quad Missile,(Enemy/Random Target/Antiair/DEX),Quad,Missile,False,False,False,False,Flase,False,False,True,False
MCH_M902_B01a,Frost Pillar,(Enemy/Random Target/Antiair/DEX),Frost,Pillar,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A01a,Water Cannon,(Enemy/Single Target/Antiair/DEX),Water,Cannon,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A01a_A,Heavy Water Cannon,(Enemy/Single Target/Antiair/DEX),Heavy,Water Cannon,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A01a_B,Rustic Cannon,(Enemy/Single Target/Antiair/DEX),Rustic,Cannon,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A02a,Smartshot,(Enemy/Single Target/Antiair/INT) Provoke enemy.,Smart,Shot,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A02a_A,Supporting Shot,(Enemy/Single Target/Antiair/INT),Supporting,Shot,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A03a,Sparkling Mist,(Enemy/All Targets/Antiair/DEX) Target speed -8%.,Sparkling,Mist,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A04a,Intercept System,(Enemy/Single Target/Guaranteed Hit/DEX),Intercept,System,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A05a,Bit,(Enemy/Single Target/Antiair/INT),B,It,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A06a,Undodgeable Bullet,(Enemy/Single Target/Guaranteed Hit/INT),Undodgeable,Bullet,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A07a,Periphery Barrage,(Enemy/All Targets/Antiair/DEX),Periphery,Barrage,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A08a,Forced Cooling,(Enemy/Single Target/Antiair/DEX) Remove enmity.,Forced,Cooling,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A08a_A,Frozen Bullet,(Enemy/Single Target/Antiair/DEX) Remove enmity.,Frozen,Bullet,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_A09a,Logic Bomb,(Enemy/Single Target/Antiair/INT) Mech paralysis chance 50%.,Logic,Bomb,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B01a,Rapid Firearms,(Enemy/Random Target/Antiair/DEX),Rapid,Firearms,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B02a,Revolver Launcher,(Enemy/Random Target/Antiair/DEX),Revolver,Launcher,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B03a,Heavy Machine Gun,(Enemy/All Targets/Antiair/DEX) Stun chance 25%. Mech stun chance 50%.,Heavy,Machine Gun,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B04a,Ballistic Missile,(Enemy/All Targets/Antiair/INT),Ballistic,Missile,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B05a,Artificial Hailstorm,(Enemy/All Targets/Antiair/INT),Artificial,Hailstorm,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B06a,Beam of Destruction,(Enemy/Single Target/Antiair/DEX),Beam of,Destruction,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A01a,Fortification Pack,(Ally/Single Target) Target attack power +10%. Only works on mechs.,Fortification,Pack,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A01a_2,Fortification Pack Mark II,(Ally/Single Target) Target attack power +20%. Only works on mechs.,Fortification,Fortification,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A02a,Protection Pack,(Ally/Single Target) Target defense +10%. Only works on mechs.,Protection,Pack,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A02a_2,Protection Pack Mark II,(Ally/Single Target) Target defense +20%. Only works on mechs.,Protection,Protection,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A03a,Acceleration Pack,(Self) Speed +8%. Only works on mechs.,Acceleration,Pack,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A03a_2,Acceleration Pack Mark II,(Self) Speed +16%. Only works on mechs.,Acceleration,Acceleration,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A04a,Deceleration Pack,(Self) Speed -8%. Only works on mechs.,Deceleration,Pack,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A04a_2,Deceleration Pack Mark II,(Self) Speed -16%. Only works on mechs.,Deceleration,Deceleration,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A05a,Repair Pack,(Ally/Single Target) Cure mech ailments. Only works on mechs.,Repair,Pack,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A05a_2,Repair Pack Mark II,(Ally/Single Target) Cure mech ailments. Only works on mechs.,Repair,Repair,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A06a,Optical Camouflage,(Self) Prevent the user from being targeted by the enemy.,Optical,Camouflage,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_A06a_2,Optical Camouflage Mark II,(Self) Prevent the user from being targeted by the enemy.,Optical,Optical,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B01a,Self-Defense Program,(Self) Nullify mech ailments for 6 turns.,Self-Defense,Program,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B01a_2,Self-Defense Program Mark II,(Self) Nullify mech ailments for 12 turns.,Self-Defense,Self-Defense,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B02a,Gilding Program,(Self) Nullify damage once but suffer mech paralysis afterwards.,Gilding,Program,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B02a_2,Gilding Program Mark II,(Self) Nullify damage once but suffer mech paralysis afterwards.,Gilding,Gilding,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B03a,Safety Release,(Self) BP cost +1. Increase tech power for 4 turns following activation.,Safety,Release,False,False,False,False,Flase,False,False,True,False
MCH_M90Z_B03a_2,Safety Release Mark II,(Self) BP cost +1. Increase tech power for 5 turns following activation.,Safety,Safe,False,False,False,False,Flase,False,False,True,False
MCH_M90Y_B06a_EN,Beam of Destruction,,Beam of,Destruction,False,False,False,False,Flase,False,False,False,False
MCH_M90X_A04a_EN,Self-Destruct,,Self-,Destruct,False,False,False,False,Flase,False,False,False,False
MCH_M90X_A04a_EN2,System Failure,,System,Failure,False,False,False,False,Flase,False,False,False,False
MCH_M90Z_A04a_EN3,System Crash,,System,Crash,False,False,False,False,Flase,False,False,False,False
MCH_M901_A01a_EN,Demise Disc,,Demise,Disc,False,False,False,False,Flase,False,False,False,False
MCH_M90X_A06a_EN,Guardian Program,,Guardian,Program,False,False,False,False,Flase,False,False,False,False
MCH_M90X_B03a_A_EN,Early Flash,,Early,Flash,False,False,False,False,Flase,False,False,False,False
MCH_M90X_B03a_A_EN2,Late Flash,,Late,Flash,False,False,False,False,Flase,False,False,False,False
MCH_M90Y_B04a_EN,Rear Suppressive Fire,,Rear,Suppressive Fire,False,False,False,False,Flase,False,False,False,False
MCH_M90Z_A01a_EN,Fortification Pack Mark II,(Ally/Single Target) Target attack power +10%. Only works on mechs.,Fortification,Pack,False,False,False,False,Flase,False,False,False,False
MCH_M90Z_A02a_EN,Protection Pack Mark II,(Ally/Single Target) Target defense +10%. Only works on mechs.,Protection,Pack,False,False,False,False,Flase,False,False,False,False
MCH_M90Z_A03a_2_EN,Acceleration Pack Mark II,(Self) Speed +16%. Only works on mechs.,Acceleration,Acceleration,False,False,False,False,Flase,False,False,False,False
MON_M054_A01a,Cell Sap,(Enemy/Single Target/INT),Cell,Sap,False,False,False,False,Flase,False,False,True,False
MON_M001X_A01a,Lupine Fang,(Enemy/Single Target/STR),Lupine,Fang,False,False,False,False,Flase,False,False,True,False
MON_M003_A01a,Cat Scratch,(Enemy/Single Target/STR),Cat,Scratch,False,False,False,False,Flase,False,False,True,False
MON_M110_A01a,Mole Spiral,(Enemy/Single Target/STR),Mole,Spiral,False,False,False,False,Flase,False,False,True,False
MON_M072X_A01a,Mantis Blade,(Enemy/Single Target/STR),Mantis,Blade,False,False,False,False,Flase,False,False,True,False
MON_M000_A02a,Savoring Slash,(Enemy/Single Target/STR) Target speed -8%.,Savoring,Slash,False,False,False,False,Flase,True,False,True,False
MON_M000_A01a,Thundersmash,(Enemy/Single Target/STR) Mech stun chance 50%.,Thunder,Smash,False,False,False,False,Flase,True,False,True,False
MON_M000_A03a,Shadowbite,(Enemy/Single Target/DEX),Shadow,Bite,False,False,False,False,Flase,True,False,True,False
MON_M000_A04a,Fanged Reversal,(Enemy/Single Target/DEX),Fanged,Reversal,False,False,False,False,Flase,True,False,True,False
MON_M000_A05a,Fang Frenzy,(Enemy/Single Target/DEX),Fang,Frenzy,False,False,False,False,Flase,True,False,True,False
MON_M001_A02a,Break Armor,(Enemy/Single Target/STR) Target defense -10%.,Break,Armor,False,False,False,False,Flase,True,False,True,False
MON_M001_A04a,Break Counter,(Enemy/Single Target/Guaranteed Hit/DEX) Target defense -20%.,Break,Counter,False,False,False,False,Flase,True,False,True,False
