label, GetName(), cantlearn, description, effect, fixedrole, hp, lp, Name, PRM_INT, PRM_QUI, PRM_STR, PRM_TEC, PRM_VIT, PRM_WIL, SLV_Do, SLV_Ka, SLV_Kin, SLV_Moku, SLV_Sui, Sortindex, specialarts, type
SOUL_M0011, Hati, False, Btl_SOUL_M0011_RoleDescription, ROLE_EF_GUA_UP_003 ROLE_EF_HEAD_UP_008 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0011_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0010_A, Soul
SOUL_M0012, Skoll, False, Btl_SOUL_M0012_RoleDescription, ROLE_EF_GUA_UP_003 ROLE_EF_HEAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0012_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0010_A, Soul
SOUL_M0020, War Hog, False, Btl_SOUL_M0020_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_SMED_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0020_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0021, Boar Infantry, False, Btl_SOUL_M0021_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_SMED_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0021_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0020_A, Soul
SOUL_M0022, Porcine Charger, False, Btl_SOUL_M0022_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_SMED_UP_4 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0022_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0020_A, Soul
SOUL_M0100, Sephira, False, Btl_SOUL_M0100_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_002 ROLE_EF_HITRATE_030 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0100_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0100_A, Soul
SOUL_M0101, Ishtar, False, Btl_SOUL_M0101_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_002 ROLE_EF_HITRATE_020 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0101_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0100_A, Soul
SOUL_M0102, Valkyrie, False, Btl_SOUL_M0102_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_001 ROLE_EF_HITRATE_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0102_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0100_A, Soul
SOUL_M0110, Earth Dragon, False, Btl_SOUL_M0110_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0110_RoleName, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0111, Red Dragon, False, Btl_SOUL_M0111_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0111_RoleName, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0112, Blue Dragon, False, Btl_SOUL_M0112_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0112_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0113, Dark Forest, False, Btl_SOUL_M0113_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0113_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0114, Gold Dragon, False, Btl_SOUL_M0114_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_THUD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0114_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0115, White Dragon, False, Btl_SOUL_M0115_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_THUD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0115_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0110_A, Soul
SOUL_M0120, Puca, False, Btl_SOUL_M0120_RoleDescription, ROLE_EF_MAGA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0120_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0121, Rascal, False, Btl_SOUL_M0121_RoleDescription, ROLE_EF_TOTA_UP_002 ROLE_EF_MAGA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0121_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0120_A, Soul
SOUL_M0123, Prankster, False, Btl_SOUL_M0123_RoleDescription, ROLE_EF_TOTA_UP_002 ROLE_EF_MAGA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0123_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0120_A, Soul
SOUL_M0210, Jumbo Moch, False, Btl_SOUL_M0210_RoleDescription, ROLE_EF_ZANA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0210_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0210_A, Soul
SOUL_M0211, Young Moch, False, Btl_SOUL_M0211_RoleDescription, ROLE_EF_ZANA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0211_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0210_A, Soul
SOUL_M0212, Elder Moch, False, Btl_SOUL_M0212_RoleDescription, ROLE_EF_ZANA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0212_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0210_A, Soul
SOUL_M0220, Sunflower, False, Btl_SOUL_M0220_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0220_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0220_A, Soul
SOUL_M0221, Amaranth, False, Btl_SOUL_M0221_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_008 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0221_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0220_A, Soul
SOUL_M0222, Asphodelus, False, Btl_SOUL_M0222_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_HEAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0222_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0220_A, Soul
SOUL_M0230, Alraune, False, Btl_SOUL_M0230_RoleDescription, ROLE_EF_DTHD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0230_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0231, Galgenmannlein, False, Btl_SOUL_M0231_RoleDescription, ROLE_EF_CNFD_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0231_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0230_A, Soul
SOUL_M0232, Passionroot, False, Btl_SOUL_M0232_RoleDescription, ROLE_EF_CNFD_UP_4 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0232_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0230_A, Soul
SOUL_M0300, Viper, False, Btl_SOUL_M0300_RoleDescription, ROLE_EF_TOTA_UP_003 ROLE_EF_POID_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0300_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0301, Basilisk, False, Btl_SOUL_M0301_RoleDescription, ROLE_EF_TOTA_UP_003 ROLE_EF_STOD_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0301_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0300_A, Soul
SOUL_M0302, Rattler, False, Btl_SOUL_M0302_RoleDescription, ROLE_EF_TOTA_UP_003 ROLE_EF_STAD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0302_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0300_A, Soul
SOUL_M0310, Barghest, False, Btl_SOUL_M0310_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_002 ROLE_EF_TOTD_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0310_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0311, Padfoot, False, Btl_SOUL_M0311_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_002 ROLE_EF_TOTD_UP_008 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0311_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0310_A, Soul
SOUL_M0312, Failinis, False, Btl_SOUL_M0312_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_002 ROLE_EF_TOTD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0312_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0310_A, Soul
SOUL_M0320, Lizard Fortress, False, Btl_SOUL_M0320_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_ZAND_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0320_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0320_A, Soul
SOUL_M0321, Lizard Tyrant, False, Btl_SOUL_M0321_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_ZAND_UP_008 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0321_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0320_A, Soul
SOUL_M0322, Carbonia, False, Btl_SOUL_M0322_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_ZAND_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0322_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0320_A, Soul
SOUL_M0400, Rana Warrior, False, Btl_SOUL_M0400_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0400_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0400_A, Soul
SOUL_M0401, Rana Combatant, False, Btl_SOUL_M0401_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0401_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0400_A, Soul
SOUL_M0401_B, Megawhale Servant, False, Btl_SOUL_M0401_B_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0401_B_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0400_A, Soul
SOUL_M0402, Red Rana, False, Btl_SOUL_M0402_RoleDescription, ROLE_EF_DAA_UP_003 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0402_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, _NOT_SPECIFIED_, Soul
SOUL_M0403, Yedoma, False, Btl_SOUL_M0403_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0403_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0400_A, Soul
SOUL_M0403_B, Rana Conjurer, False, Btl_SOUL_M0403_B_RoleDescription, ROLE_EF_DAA_UP_003 ROLE_EF_COLD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0403_B_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0400_A, Soul
SOUL_M0410, Kraken, False, Btl_SOUL_M0410_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_DRKD_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0410_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0410_A, Soul
SOUL_M0411, Verdigris, False, Btl_SOUL_M0411_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_DRKD_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0411_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0410_A, Soul
SOUL_M0412, Scowl Squid, False, Btl_SOUL_M0412_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_DRKD_UP_4 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0412_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0410_A, Soul
SOUL_M0413, Gargantua, False, Btl_SOUL_M0413_RoleDescription, ROLE_EF_ZANA_UP_003 ROLE_EF_DRKD_UP_4 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0413_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0410_A, Soul
SOUL_M0420, Blue Drake, False, Btl_SOUL_M0420_RoleDescription, ROLE_EF_ZAND_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0420_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0420_A, Soul
SOUL_M0421, Petros Drake, False, Btl_SOUL_M0421_RoleDescription, ROLE_EF_ZAND_UP_010 ROLE_EF_STOD_UP_2 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0421_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0420_A, Soul
SOUL_M0422, Kelpie, False, Btl_SOUL_M0422_RoleDescription, ROLE_EF_ZAND_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0422_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0420_A, Soul
SOUL_M0423, Cockatrice, False, Btl_SOUL_M0423_RoleDescription, ROLE_EF_ZAND_UP_010 ROLE_EF_STOD_UP_3 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0423_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0420_A, Soul
SOUL_M0500, Golden Baum, False, Btl_SOUL_M0500_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_001 ROLE_EF_DAD_UP_005 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0500_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0500_A, Soul
SOUL_M0501, Gelatinous Matter, False, Btl_SOUL_M0501_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_001 ROLE_EF_DAD_UP_008 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0501_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0500_A, Soul
SOUL_M0502, Mycotic Predator, False, Btl_SOUL_M0502_RoleDescription, ROLE_EF_OVERATTACKRATE_UP_001 ROLE_EF_DAD_UP_010 _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_ _NOT_SPECIFIED_, False, 0, 0, Btl_SOUL_M0502_RoleName, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, _NOT_SPECIFIED_, SOUL_E_M0500_A, Soul
