label,GetActorLabel(),Arts,ArtsRoute,AT_Chant,AT_Confusion,AT_Darkness,AT_Death,AT_FIRE,AT_ICE,AT_LIGHTNING,AT_Paralysis,AT_Poison,AT_Rage AT_SLASH,AT_STAB,AT_Stench,AT_Stone AT_STRIKE,AT_Stun,bloodarts,Equip,ExRole,floating,formation,genus,gogyo,growGfirearm,growGsword,growHP,growINT,growLfirearm,growLsword,growMagic,growMartial,growMecha_1,growMecha_2,growMonster,growQUI,growSTR,growTEC,growVIT,growWIL,HP,initisgenus,isgenus,LP,lpRecover,mechabody,PRM_INT,PRM_QUI,PRM_STR,PRM_TEC,PRM_VIT,PRM_WIL,race,Role,SLV_Do,SLV_Gfirearm,SLV_Gsword,SLV_Ka,SLV_Kin,SLV_Lfirearm,SLV_Lsword,SLV_Magic,SLV_Martial,SLV_Mecha_1,SLV_Mecha_2,SLV_Moku,SLV_Monster,SLV_Sui,supportonly,supportRole,uniqueRole,voice,WorldIdea
PC_LoLo,LoLo_Battle,"['MON_M003_A01a', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['MAMCR01_DW', 'MAMCR02_DW', 'MACW01_DM', 'SAAC01_DS', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_007,False,False,0,0,8,6,0,0,24,0,0,0,30,5,3,4,3,7,0,False,False,9,2,None,0,0,0,0,0,0,Monster,"['', 'ROLE_MON_001', 'None', 'None', 'None', 'None']",0,0,0,2,1,0,0,0,0,0,0,3,0,0,False,SUPPORT_ROLE_LoLo,None,PC_LoLo,"['', 'None', 'None', 'None']"
PC_Shinobu_Kato,Shinobu_Kato,"['THS_WH000_A01', 'THS_WH000_A01_EX1', 'THS_WH000_PROTECT', 'OHS_WL000_A01', 'OHS_WLRAP_A01', 'None', 'None', 'None']","['GreatSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A02_BLD03,"['WLRAP01_A', 'WHGSW01_A', 'MACL03_A', 'SASH01_A', 'SAAC26_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_014,False,False,15,30,12,1,17,24,0,18,0,0,0,7,7,8,6,8,0,False,True,13,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_048', 'None', 'None', 'None', 'None']",-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,False,SUPPORT_ROLE_Shinobu_Kato,None,PC_Shinobu_Kato,"['', 'None', 'None', 'None']"
PC_Macha_Copy,Macha_Copy,"['OHS_WL000_A01', 'OHS_WL000_A02', 'THG_GH000_A01', 'MAG_MG_B_01_Ka01', 'MAG_MG_B_03_Ka03', 'None', 'None', 'None']","['Rapier', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THG_GH000_A02_BLD02,"['WLRAP01_A', 'GHFLA01_ZERO', 'MARO01_A', 'SAHE17_A', 'SASH01_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_025,False,False,18,20,13,10,13,22,30,10,0,0,0,4,2,7,8,1,0,False,True,9,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_015', 'None', 'None', 'None', 'None']",2,0,0,4,0,0,0,0,0,0,0,1,0,1,False,SUPPORT_ROLE_Macha_Copy,None,PC_Macha_Copy,"['', 'None', 'None', 'None']"
PC_General,General_Einherjar,"['MAR_MA000_A01', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHG_GL000_B03_BLD01,"['None', 'None', 'MANA01_A', 'SAHE02_A', 'SASH01_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_009,False,False,31,29,4,11,35,35,33,35,0,0,0,5,3,12,1,13,0,False,True,3,1,None,0,0,0,0,0,0,Human,"['', 'ROLE_031', 'None', 'None', 'None', 'None']",1,0,0,1,4,0,0,0,0,0,0,0,0,2,True,SUPPORT_ROLE_General,None,PC_General,"['', 'None', 'None', 'None']"
PC_Brave,Brave_Einherjar,"['THS_WH000_A01', 'THS_WHPSW_A01', 'THG_GH000_A01', 'THG_GH000_A02', 'None', 'None', 'None', 'None']","['Halberd', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THG_GH000_A02_BLD01,"['WHPSW01_A', 'GHMAC01_A', 'MACL01_A', 'SAGL17_A', 'SASH00_B', 'SAAC37_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_021,False,False,26,30,22,3,13,17,10,22,0,0,0,6,9,4,10,4,0,False,True,13,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_046', 'None', 'None', 'None', 'None']",1,0,0,2,0,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Brave,None,PC_Brave,"['', 'None', 'None', 'None']"
PC_Philosopher,Philosopher_Einherjar,"['OHS_WL000_A01', 'OHS_WLDAG_A01', 'MAG_MG_E_01_Su01', 'MAG_MG_A_02_Mo02', 'None', 'None', 'None', 'None']","['Dagger', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHS_WL000_A04_BLD01,"['WLDAG01_A', 'None', 'MARO00_A', 'SAGL01_A', 'SASH01_A', 'SAAC36_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_010,False,False,20,13,6,8,24,28,22,15,0,0,0,4,6,8,4,7,0,False,True,9,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_023', 'None', 'None', 'None', 'None']",1,0,0,0,0,0,0,0,0,0,0,2,0,3,False,SUPPORT_ROLE_Philosopher,None,PC_Philosopher,"['', 'None', 'None', 'None']"
PC_Killer,Killer_Einherjar,"['OHS_WL000_A01', 'OHS_WL000_A04', 'THS_WH000_A01', 'THS_WHSSW_A01', 'None', 'None', 'None', 'None']","['SmuraiSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A04_BLD01,"['WHSSW01_A', 'WLLSW01_A', 'MACL01_A', 'SAHE21_A', 'SASH00_B', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_017,False,False,10,30,12,4,15,26,13,22,0,0,0,6,8,7,7,5,0,False,True,10,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_040', 'None', 'None', 'None', 'None']",1,0,0,2,0,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Killer,None,PC_Killer,"['', 'None', 'None', 'None']"
PC_Ilmurran,Ilmurran_Einherjar,"['OHG_GL000_A01', 'OHG_GL000_A04', 'OHS_WL000_A01', 'OHS_WL000_PROTECT', 'OHS_WLRAP_A01', 'None', 'None', 'None']","['OneHandedGun', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHG_GL000_B05_BLD01,"['GLONE01_A', 'WLRAP02_A', 'MACL03_A', 'SAAC34_A', 'SASH01_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_007,False,False,22,13,16,6,30,24,20,10,0,0,0,8,7,7,7,7,0,False,True,12,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_039', 'None', 'None', 'None', 'None']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Ilmurran,None,PC_Ilmurran,"['', 'None', 'None', 'None']"
PC_Champion,Champion_Einherjar,"['MAR_MA000_A01', 'MAR_MA000_A02', 'MAR_MA000_A07', 'MAR_MA000_A04', 'None', 'None', 'None', 'None']","['PunchArts', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,MAR_MA000_B01_BLD01,"['None', 'None', 'MANA01_A', 'SAGL01_A', 'SASH01_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_008,False,False,17,26,14,5,10,15,24,30,0,0,0,6,7,8,6,6,0,False,True,11,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_002', 'None', 'None', 'None', 'None']",0,0,0,1,0,0,0,0,0,0,0,2,0,0,False,SUPPORT_ROLE_Champion,None,PC_Champion,"['', 'None', 'None', 'None']"
PC_Beh_Cat,Beh_Cat,"['MON_M003_A01a', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['MAMCR03_DW', 'MAMCR04_DW', 'MACW02_DM', 'SAAC02_DS', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_009,False,False,0,0,8,2,0,0,13,0,0,0,28,4,2,4,3,3,0,False,False,9,2,None,0,0,0,0,0,0,Monster,"['', 'ROLE_MON_002', 'None', 'None', 'None', 'None']",1,0,0,0,0,0,0,0,0,0,0,2,0,3,False,SUPPORT_ROLE_Beh_Cat,None,PC_Beh_Cat,"['', 'None', 'None', 'None']"
PC_Heh_Cat,Heh_Cat,"['MON_M003_A01a', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['MAMCR05_DW', 'MAMCR06_DW', 'MACW03_DM', 'SAAC03_DS', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_020,False,False,0,0,6,3,0,0,15,0,0,0,28,5,2,3,2,2,0,False,False,9,2,None,0,0,0,0,0,0,Monster,"['', 'ROLE_MON_003', 'None', 'None', 'None', 'None']",0,0,0,2,1,0,0,0,0,0,0,3,0,0,False,SUPPORT_ROLE_Heh_Cat,None,PC_Heh_Cat,"['', 'None', 'None', 'None']"
PC_Eh_Cat,Eh_Cat,"['MON_M003_A01a', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['MAMCR07_DW', 'MAMCR08_DW', 'MACW04_DM', 'SAAC04_DS', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_003,False,False,0,0,7,3,0,0,17,0,0,0,28,4,3,4,3,3,0,False,False,9,2,None,0,0,0,0,0,0,Monster,"['', 'ROLE_MON_004', 'None', 'None', 'None', 'None']",3,0,0,0,2,0,0,0,0,0,0,1,0,0,False,SUPPORT_ROLE_Eh_Cat,None,PC_Eh_Cat,"['', 'None', 'None', 'None']"
PC_Constantine,Constantine,"['THS_WH000_A01', 'THS_WHPSW_A01', 'OHG_GL000_A01', 'OHG_GL000_B01', 'None', 'None', 'None', 'None']","['Halberd', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHG_GL000_B04_BLD02,"['WHPSW01_A', 'GLONE01_A', 'MARO00_B', 'SAIN01_A', 'SASH00_C', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_013,False,False,10,28,12,6,26,17,24,13,0,0,0,6,5,9,7,4,0,False,True,10,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_035', 'None', 'None', 'None', 'None']",0,0,0,1,3,0,0,0,0,0,0,0,0,2,False,SUPPORT_ROLE_Constantine,None,PC_Constantine,"['', 'None', 'None', 'None']"
PC_Imakoo_Werewolf,Imakoo_Werewolf,"['MON_M001X_A01a', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,None,"['MAMCR09_DW', 'MAMCR10_DW', 'MACW05_DM', 'SAAC05_DS', 'SAAC06_DS', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_013,False,False,0,0,20,2,0,0,10,0,0,0,30,5,7,7,8,4,0,False,False,12,2,None,0,0,0,0,0,0,Monster,"['', 'ROLE_MON_005', 'None', 'None', 'None', 'None']",2,0,0,3,0,0,0,0,0,0,0,0,0,1,False,SUPPORT_ROLE_Imakoo_Werewolf,None,PC_Imakoo_Werewolf,"['', 'None', 'None', 'None']"
PC_Wednesday,Wednesday,"['OHS_WL000_A01', 'OHS_WLLSW_B01', 'OHG_GL000_A01', 'None', 'None', 'None', 'None', 'None']","['LongSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,OHG_GL000_B03_BLD01,"['WLLSW_DW', 'GLONE_DW', 'MAFA01_A', 'SAAC09_DS', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_021,False,False,15,17,14,5,26,30,18,10,0,0,20,6,8,7,6,5,0,False,True,13,2,None,0,0,0,0,0,0,Mag_user,"['', 'ROLE_053', 'None', 'None', 'None', 'None']",2,0,0,0,1,0,0,0,0,0,0,0,0,0,False,SUPPORT_ROLE_Wednesday,None,PC_Wednesday,"['', 'None', 'None', 'None']"
PC_Blath,Blath,"['OHS_WL000_A01', 'OHS_WLAXE_A01', 'MAR_MA000_A01', 'SL_RB_C_02_IHA11', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,MAR_MA000_B01_BLD01,"['WLAXE01_A', 'None', 'MARO00_A', 'SAHE09_A', 'SAAC06_A', 'None', 'None']","['SL_ROLE_1_002', 'None', 'None', 'None', 'None', 'None']",False,BF_017,False,False,24,24,15,6,24,24,24,24,0,0,0,7,6,5,6,8,0,False,True,4,1,None,0,0,0,0,0,0,Short_lived_human,"['', 'ROLE_043', 'None', 'None', 'None', 'None']",0,0,0,2,1,0,0,0,0,0,0,3,0,0,False,SUPPORT_ROLE_Blath,None,PC_Blath,"['', 'None', 'None', 'None']"
PC_Boudica,Boudica,"['OHS_WL000_A01', 'OHS_WLDAG_B01', 'THS_WH000_A01', 'THS_WHSSW_B01', 'None', 'None', 'None', 'None']","['SmuraiSword', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A04_BLD02,"['WHSSW01_A', 'WLDAG01_A', 'MANA11_A', 'SAGL01_A', 'SASH03_A', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_028,False,False,24,30,16,6,20,26,10,13,0,0,0,6,7,7,7,5,0,False,True,11,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_028', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,SUPPORT_ROLE_Boudica,None,PC_Boudica,"['', 'None', 'None', 'None']"
PC_Lita_Caryx,Lita_Caryx,"['THS_WH000_A01', 'OHS_WL000_A01', 'OHS_WL000_A02', 'MAG_MG_A_01_Mo01', 'None', 'None', 'None', 'None']","['Halberd', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A04_BLD01,"['WHPSW01_A', 'WLLSW01_A', 'MARO01_A', 'SAHE01_A', 'SAGL01_A', 'SASH01_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_022,False,False,13,22,27,11,15,24,35,17,0,0,0,5,6,4,4,8,0,False,True,10,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_017', 'None', 'None', 'None', 'None']",0,0,0,2,1,0,0,0,0,0,0,4,0,1,False,SUPPORT_ROLE_Lita_Caryx,None,PC_Lita_Caryx,"['', 'None', 'None', 'None']"
PC_YellowWitchWillma,YellowWitchWillma,"['OHG_GL000_A01', 'OHG_GL000_A02', 'THS_WH000_A01', 'MAG_MG_C_01_Do01', 'MAG_MG_C_02_Do02', 'None', 'None', 'None']","['OneHandedGun', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A04_BLD02,"['GLONE01_A', 'WHGSW01_A', 'MARO03_A', 'SAIN03_A', 'SASH01_A', 'SAAC18_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_024,False,False,17,24,28,12,13,22,35,26,0,0,0,4,6,7,5,6,0,False,True,12,2,None,0,0,0,0,0,0,Human,"['', 'ROLE_019', 'None', 'None', 'None', 'None']",4,0,0,1,2,0,0,0,0,0,0,1,0,0,False,SUPPORT_ROLE_YellowWitchWillma,None,PC_YellowWitchWillma,"['', 'None', 'None', 'None']"
PC_YellowWitchWillma_Golem,YellowWitchWillma_Golem,"['OHG_GL000_A01', 'OHG_GL000_A02', 'THS_WH000_A01', 'MAG_MG_C_01_Do01', 'MAG_MG_C_02_Do02', 'None', 'None', 'None']","['OneHandedGun', 'None', 'None', 'None', 'None']",0,0,0,0,0,0,0,0,0,"['0', '0']",0,0,"['0', '0']",0,THS_WH000_A04_BLD02,"['GLONE01_A', 'WHGSW01_A', 'MARO03_A', 'SAIN03_A', 'SASH01_A', 'SAAC18_A', 'None']","['None', 'None', 'None', 'None', 'None', 'None']",False,BF_024,False,False,17,24,44,8,13,22,35,26,0,0,0,2,8,3,8,7,0,False,True,16,3,None,0,0,0,0,0,0,Human,"['', 'ROLE_019', 'None', 'None', 'None', 'None']",4,0,0,1,2,0,0,0,0,0,0,1,0,0,False,SUPPORT_ROLE_YellowWitchWillma_Golem,None,PC_YellowWitchWillma_Golem,"['', 'None', 'None', 'None']"
